ID,CaseTitle,InitiationYear,ResolutionYear,RespondentState,ClaimantCountry,ClaimantName,PAULSSON,ArbitrationRules,LegalInstrument,OutcomeStatus,amountSought,amountSought_original,amountAwarded,amountAwarded_original,Arbitrator1,Arbitrator1President,Arbitrator2,Arbitrator2Claimant,Arbitrator3,Arbitrator3Respondent,description,italaw
UNC126,"EDF International S.A., SAUR International S.A. and León Participaciones Argentinas S.A. v. Argentine Republic (ICSID Case No. ARB/03/23)",2003,2012,Argentina,France,"EDF International S.A., SAUR International S.A. and León Participaciones Argentinas S.A.",Electricity distribution enterprise,ICSID,Argentina-France BIT; Argentina-Belgium-Luxembourg BIT,In favour of the investor,330730332.7,257000000,211376952.4,205000000,William W. PARK,yes,Gabrielle KAUFMANN-KOHLER,yes,Jesús REMÓN,yes,"The claimants, French and Argentine power sector companies with investments in Argentina’s electricity distribution network, allege losses arising out of Argentina’s emergency response to an earlier financial crisis. In August 2008 arbitrators upheld jurisdiction over the claim. The Argentine government denies that the measures breached the treaty, and insists they were necessary due to the nature of the economic crisis.",
UNC105,Electricidad Argentina S.A. and EDF International S.A. v. Argentine Republic (ICSID Case No. ARB/03/22),2003,,Argentina,France,Electricidad Argentina S.A. and EDF International S.A.,Electricity distribution enterprise,ICSID,Argentina-France BIT,Pending,1544266145,1200000000,Not applicable,,William W. PARK,yes,Gabrielle KAUFMANN-KOHLER,yes,Fernando DE TRAZEGNIES GRANDA,yes,This BIT claim involving an electricity concession in the Buenos Aires area has been suspended since our last Arbitration Scorecard in 2009 while renegotiation of the underlying concession contract continues. The dispute has its origins in the financial crisis early in the last decade,
UNC313,Alapli Elektrik B.V. v. Turkey (ICSID Case No. ARB/08/13),2008,2012,Turkey,Netherlands,Alapli Elektrik B.V.,Electricity concession,ICSID,Energy Charter Treaty; Netherlands-Turkey BIT,In favour of the State,109954807.9,100000000,Not applicable,,William W. PARK,yes,Marc LALONDE,yes,Brigitte STERN,yes,An ICSID arbitration brought under Netherlands–Turkey bilateral investment treaty and Energy Charter Treaty. The claim relates to electricity generation concession agreements.,http://www.italaw.com/cases/1708
UNC382,Standard Chartered Bank v. United Tanzania (ICSID Case No. ARB/10/12),2010,2012,Tanzania,United Kingdom,Standard Chartered Bank,Power purchase agreement,ICSID,Tanzania-United Kingdom BIT,In favour of the State,285530175.7,263000000,Not applicable,,William W. PARK,yes,Barton LEGUM,yes,Michael C. PRYLES,yes,,
UNC391,Ömer Dede and Serdar Elhüseyni v. Romania (ICSID Case No. ARB/10/22),2010,2013,Romania,Turkey,Ömer Dede and Serdar Elhüseyni,Agricultural machinery and equipment enterprise,ICSID,Romania-Turkey BIT,In favour of the State,,,Not applicable,,William W. PARK,yes,Nicolas HERZOG,yes,Brigitte STERN,yes,"Claims arising out of alleged breaches by the Government of Romania of a pledge on the shares the Turkish investors held in Întreprinderea Mecanică de Utilaje Medgidia (IMUM), a Romanian company acquired by claimants through privatisation.",http://www.legalweek.ro/4805/romania-wins-sixth-investment-treaty-arbitration-case-under-icsid-rules.html
UNC554,"Impresa Grassetto S.p.A., in liquidation v. Slovenia (ICSID Case No. ARB/13/10)",2013,,Slovenia,Italy,"Impresa Grassetto S.p.A., in liquidation",Highway tunnel construction project,ICSID,Italy-Slovenia BIT,Pending,,,Not applicable,,William W. PARK,yes,Pierre-Yves TSCHANZ,yes,Brigitte STERN,yes,,
UNC601,Sodexo Pass International SAS v. Hungary (ICSID Case No. ARB/14/20),2014,,Hungary,France,Sodexo Pass International SAS,Food voucher services,ICSID,France-Hungary BIT,Pending,,,Not applicable,,William W. PARK,yes,Andrea CARLEVARIS,yes,J. Christopher THOMAS,yes,,
UNC340,"Les Laboratoires Servier, S.A.S., Biofarma, S.A.S., Arts et Techniques du Progres S.A.S. v. Poland",2009,2012,Poland,France,"Les Laboratoires Servier, S.A.S., Biofarma, S.A.S., Arts et Techniques du Progres S.A.S.",pharmaceutical company,UNCITRAL,France-Poland BIT,In favour of the investor,336559567.8,305000000,5891539.66,5713800,William W. PARK,yes,Marc LALONDE,DU,William W. PARK,DU,,http://www.italaw.com/cases/1179
UNC087,"GAMI Investments, Inc. v. United Mexican States",2002,2004,Mexico,USA,"GAMI Investments, Inc.",sugar mills,UNCITRAL,NAFTA,In favour of the State,,,Not applicable,,W. Michael REISMAN,,Julio Lacarte Muro,,Jan PAULSSON,,,
UNC220,Branimir Mensik v. Slovak Republic (ICSID Case No. ARB/06/9),2006,2008,Slovakia,Switzerland,Branimir Mensik,Mineral water spring project,ICSID,Czech Republic-Switzerland BIT,Discontinued (for unknown reasons or reasons other than settlement),,,,,W. Michael REISMAN,yes,Karl-Heinz BÖCKSTIEGEL,yes,Bohuslav KLEIN,yes,,
UNC241,Nordzucker AG v. The Poland,2006,2009,Poland,Germany,Nordzucker AG,sugar enterprise,UNCITRAL,Germany-Poland BIT,Neither the investor nor the State (liability found but no damages awarded),234857142.9,200000000,nihil,nihil,Vera Van Houtte,yes,Andreas BUCHER,yes,Andreas BUCHER,yes,Claims arising out of the alleged non-privatization of two Polish sugar producers.,http://www.italaw.com/cases/750
UNC389,İçkale İnşaat Limited Şirketi v. Turkmenistan (ICSID Case No. ARB/10/24),2010,,Turkmenistan,Turkey,İçkale İnşaat Limited Şirketi,Design and construction contracts,ICSID,Turkey-Turkmenistan BIT,Pending,651399640.5,600000000,Not applicable,,Veijo HEISKANEN,yes,Carolyn B. LAMM,yes,Philippe SANDS,yes,,
UNC488,"Guardian Fiduciary Trust, Ltd, f/k/a Capital Conservator Savings & Loan, Ltd v. Macedonia, former Yugoslav (ICSID Case No. ARB/12/31)",2012,2015,Macedonia,Netherlands,"Guardian Fiduciary Trust, Ltd, f/k/a Capital Conservator Savings & Loan, Ltd",Trust banking operations,ICSID,Macedonia-Netherlands BIT,In favour of the State,618664250.8,600000000,Not applicable,,Veijo HEISKANEN,yes,Andreas BUCHER,yes,Brigitte STERN,yes,,http://www.italaw.com/cases/1970
UNC515,Windstream Energy LLC v. The Government of Canada,2013,,Canada,USA,Windstream Energy LLC,wind energy,UNCITRAL,NAFTA,Pending,355677657.3,350000000,Not applicable,,Veijo HEISKANEN,yes,Bernardo M. CREMADES,yes,Doak BISHOP,yes,,http://www.italaw.com/cases/1585
UNC557,"Natland Investment Group NV, Natland Group Limited, G.I.H.G. Limited, and Radiance Energy Holding S.A.R.L. v. Czech Republic",2013,,Czech Republic,Cyprus/Luxembourg/Netherlands,"Natland Investment Group NV, Natland Group Limited, G.I.H.G. Limited, and Radiance Energy Holding S.A.R.L.",solar energy,UNCITRAL,Czech Republic-Netherlands BIT; Czech Republic-Cyprus BIT; Czech Republic-Luxembourg BIT; Energy Charter Treaty,Pending,,,Not applicable,,Veijo HEISKANEN,yes,Doak BISHOP,yes,J. Christopher THOMAS,,Case arising in response to the State levy on the Solar Power Industry,
UNC223,Sistem Mühendislik Inşaat Sanayi ve Ticaret A.Ş. v. Kyrgyz Republic (ICSID Case No. ARB(AF)/06/1),2006,2009,Kyrgyzstan,Turkey,Sistem Mühendislik Inşaat Sanayi ve Ticaret A.Ş.,Hotel operation project,ICSID AF,Kyrgyz Republic-Turkey BIT,In favour of the investor,,,11034739.93,10000000,Vaughan LOWE,yes,Nabil ELARABY,yes,Paolo Michele PATOCCHI,yes,,
UNC174,Vannessa Ventures Ltd v. Venezuela (ICSID Case No. ARB(AF)/04/6),2004,2013,Venezuela,Canada,Vannessa Ventures Ltd,Gold and copper mining project,ICSID AF,Canada-Venezuela BIT,In favour of the State,1503881419,1200000000,Not applicable,,Vaughan LOWE,yes,Charles N. BROWER,yes,Brigitte STERN,yes,The Vannessa mining company claims that Venezuela expropriated its gold mine in violation of the Canada-Venezuela BIT.,
UNC197,Bayview Irrigation District and others v. United Mexican States (ICSID Case No. ARB(AF)/05/1),2005,2007,Mexico,USA,Bayview Irrigation District and others,Agricultural enterprises,ICSID AF,NAFTA,In favour of the State,809726820.3,668000000,Not applicable,,Vaughan LOWE,yes,Edwin MEESE III,yes,Ignacio GÓMEZ PALACIO,yes,"NAFTA claim dries up. Farmers in Texas’s Rio Grande Valley, along with several water districts and a municipal water supply company, complained under NAFTA Chapter 11 that Mexico has expropriated their investment by diverting nearly a million acre-feet of water from the Rio Grande River for the use of Mexican farmers. In 2007 a panel of arbitrators ruled that the Texas claimants had not made any investments in Mexico—proving fatal to their claim under the NAFTA’s foreign investment protection chapter. The claimants turned to the courts in an effort to set aside the tribunal ruling, but a 2008 judgment in Canada (where the arbitration had been held) sided with the arbitrators.",
UNC237,Barmek Holding A.S. v. Azerbaijan (ICSID Case No. ARB/06/16),2006,2009,Azerbaijan,Turkey,Barmek Holding A.S.,Electricity concession,ICSID,Energy Charter Treaty,Settled,1174285714,1000000000,unknown,,Vaughan LOWE,yes,Peter W. GALBRAITH,yes,Brigitte STERN,yes,Electricity concession,
UNC263,"Piero Foresti, Laura de Carli and others v. South Africa (ICSID Case No. ARB(AF)/07/1)",2007,2010,South Africa,Italy/Luxembourg,"Piero Foresti, Laura de Carli and others",Quarrying and trading enterprise,ICSID AF,Belgium/Luxembourg-South Africa BIT; Italy-South Africa BIT,Discontinued (for unknown reasons or reasons other than settlement),393909193.5,345000000,Not applicable,,Vaughan LOWE,yes,Charles N. BROWER,yes,Joseph M. MATTHEWS,yes,"South Africa’s Black Economic Empowerment program comes under the arbitral microscope. In a dispute with potentially wide-ranging political repercussions, a group of private European claimants allege that their mining investments have suffered sizable losses as a result of a new mining regime introduced in South Africa. Among the complaints is a claim that targets certain afffirmative action obligations imposed as part of the country’s Black Economic Empowerment program. At press time the claim had been suspended while the claimants pursued certain domestic approvals from mining regulators. South Africa denies that it will settle the claim, insisting that its action do not violate international law. However, the government might consent to a move by the investors to withdraw the claim. (Under ICSID rules, both parties must consent to the termination of a claim.) Much depends on whether the investors can live with licensing terms offered by South Africa’s mining ministry. However, the arbitration could linger on if the two sides continue to quarrel over how to characterize a proposed cessation of the proceeding.",
UNC283,HOCHTIEF Aktiengesellschaft v. Argentine Republic (ICSID Case No. ARB/07/31),2007,,Argentina,Germany,HOCHTIEF Aktiengesellschaft,Highway system construction contract,ICSID,Argentina-Germany BIT,Pending,124452469.8,109000000,Not applicable,,Vaughan LOWE,yes,Charles N. BROWER,yes,J. Christopher THOMAS,yes,"German firm Hochtief was part of an international consortium slated to construct and operate a road and bridge connecting the Argentine cities of Rosario and Victoria. The German firm says that emergency measures taken during Argentina’s financial crisis served to breach contract commitments which provided for the calculation of road tolls in USA dollars and for periodic adjustments of toll charges in line with USA inflation indices. The Argentine government denies that the emergency measures breached the treaty, and insists they were necessary due to the nature of the economic crisis.",
UNC390,David Minnotte and Robert Lewis v. Poland (ICSID Case No. ARB(AF)/10/1),2010,2014,Poland,USA,David Minnotte and Robert Lewis,Blood treatment and processing facilities,ICSID,Poland-US BIT,In favour of the State,,,Not applicable,,Vaughan LOWE,yes,Maurice MENDELSON,yes,Eduardo SILVA ROMERO,yes,,
UNC594,"City-State N.V., Praktyka Asset Management Company LLC, Crystal-Invest LLC and Prodiz LLC v. Ukraine (ICSID Case No. ARB/14/9)",2014,,Ukraine,Netherlands,"City-State N.V., Praktyka Asset Management Company LLC, Crystal-Invest LLC and Prodiz LLC",Banking instrument,ICSID,Netherlands-Ukraine BIT,Pending,,,Not applicable,,Vaughan LOWE,yes,Stanimir A. ALEXANDROV,yes,Brigitte STERN,yes,,
UNC243,Chevron Corporation and Texaco Petroleum Company v. The Ecuador (PCA Case No. 34877),2006,,Ecuador,USA,Chevron Corporation and Texaco Petroleum Company,oil,UNCITRAL,US-Ecuador BIT,In favour of the investor,22311428571,19000000000,112731428.6,96000000,V.V. VEEDER,yes,Vaughan LOWE,yes,Horatio Grigera Naon,yes,"An arbitration designed to protect Chevron from the epic environmental trial in the Ecuadorian Amazon, where plaintiffs claimed up to $113 billion in damages and won a $19 billion judgment in February 2011, which they seek to enforce in Argentina, Brazil, and Canada. In the underlying suit, local residents alleged that Chevron's predecessor Texaco Inc. devastated the area through its oil operations in Ecuador from 1972 to 1992. Chevron has filed 23 actions for USA discovery in aid of arbitration, and a New York civil action against the plaintiffs team for racketeering, where it argued that the verdict was procured by fraud and corruption. Ecuador and the plaintiffs dispute Chevron’s allegations. In fall 2012, the arbitrators held a first-phase trial on the merits, to consider whether Ecuador breached a release agreement signed with Texaco in return for a limited cleanup by the oil company. At a second trial in January 2014, they are to consider whether Ecuador's courts deprived Chevron of the effective means of defense guaranteed by the USA-Ecuador investment treaty, or effected a denial of justice under international law. Meanwhile, the parties have clashed over interim measures. In February 2011, the tribunal ordered Ecuador to take all measures at its disposal to suspend enforcement of the judgment. The Ecuadorian judgment arrived five days later. In February 2012, the tribunal asserted jurisdiction, while reiterating and particularizing its order to suspend enforcement. The Ecuadorian judgment was finalized five months later. In February 2013 the tribunal found that Ecuador had violated its interim measures and ordered Ecuador to explain why it should not compensate Chevron for any harm caused. Ecuador has asked the tribunal to reconsider its conclusion that Ecuador violated its interim orders. The parties are briefing both questions this summer. In principle, the arbitrators may, in their interim or final decision, order Ecuador to reimburse Chevron for its stratospheric attorneys’ fees, as well as for any damages collected by the plaintiffs.",http://www.italaw.com/cases/251
UNC158,"Talsud, S.A. v. United Mexican States (ICSID Case No. ARB(AF)/04/4)",2004,2010,Mexico,Argentina,"Talsud, S.A.",Concession agreement to operate the National Registry of Motor Vehicles,ICSID AF,Argentina-Mexico BIT,In favour of the investor,125323451.6,100000000,9944701.18,9160000,V.V. VEEDER,yes,L. Yves FORTIER,yes,Eduardo MAGALLÓN GÓMEZ,yes,"Talsud, S.A. alleges that Mexico destroyed its investment in Mexico’s first private nationwide motor vehicle registration system. (See the Gemplus case, above, for more on the dispute.) An award is expected any time in 2009.",
UNC157,"Gemplus, S.A., SLP, S.A., and Gemplus Industrial S.A. de C.V. v. United Mexican States (ICSID Case No. ARB(AF)/04/3)",2004,2010,Mexico,France,"Gemplus, S.A., SLP, S.A., and Gemplus Industrial S.A. de C.V.",Concession agreement to operate the National Registry of Motor Vehicles,ICSID AF,France-Mexico BIT,In favour of the investor,125323451.6,100000000,6893979.53,6350000,V.V. VEEDER,yes,L. Yves FORTIER,yes,Eduardo MAGALLÓN GÓMEZ,yes,"The claimants are subsidiaries of Gemalto, the world’s leader in digital security. Gemalto is seeking compensation for Mexico’s alleged destruction of Gemalto’s investment in the first private nationwide motor vehicle registration system. This project became a hot political issue during the 2000 presidential election campaign and has been front-page news in Mexico and throughout Latin America. An award is expected any time in 2009.",
UNC039,Methanex Corporation v. USA,1999,2005,USA,Canada,Methanex Corporation,methanol production,UNCITRAL,NAFTA,In favour of the State,,,Not applicable,,V.V. VEEDER,,William F. Rowley,,Warren Christopher; Michael Reisman,,"Methanex, a Canadian maker of methanol, argues under NAFTA that a California environmental regulation, banning methanol as a gasoline additive, was designed to favor U.S. makers of ethanol.",
UNC250,"Trans-Global Petroleum, Inc. v. Hashemite Kingdom of Jordan (ICSID Case No. ARB/07/25)",2007,2009,Jordan,USA,"Trans-Global Petroleum, Inc.",Oil exploration concession,ICSID,Jordan-United States BIT,Settled,616553520.3,540000000,unknown,,V.V. VEEDER,yes,Donald M. McRAE,yes,James R. CRAWFORD,yes,"Energy exploration firm complained of being marginalized after discovery of oil. A USA firm settled its dispute with the Kingdom of Jordan in May 2009 after having earlier filed for arbitration alleging mistreatment under the USA–Jordan bilateral investment treaty. The terms of the settlement have not been published, although the USA firm is understood to retain a stake in the oil venture in question.",
UNC279,Electrabel S.A. v. The Hungary (ICSID Case No. ARB/07/19),2007,,Hungary,Belgium,Electrabel S.A.,Electricity generation,ICSID,Energy Charter Treaty,Pending,799236044.8,700000000,Not applicable,,V.V. VEEDER,yes,Gabrielle KAUFMANN-KOHLER,yes,Brigitte STERN,yes,"AES Summit Generation Ltd (UK subsidiary of US based AES Corporation), energy company had turned to arbitration in 2007 following Hungary’s imposition of caps on the price charged for energy generated by AES in Hungary.",
UNC316,TRACO Deutsche Travertin Werke GmbH v. The Poland,2008,2012,Poland,Germany,TRACO Deutsche Travertin Werke GmbH,stone mining,UNCITRAL,German-Poland BIT,In favour of the State,13129043.88,11940400,Not applicable,,V.V. VEEDER,yes,Christoph Schreuer,yes,Brigitte STERN,yes,,http://www.italaw.com/cases/2408
UNC342,Chevron Corporation and Texaco Petroleum Company v. The Ecuador (PCA Case No. 2009-23) (II),2009,,Ecuador,USA,Chevron Corporation and Texaco Petroleum Company,oil and gas,UNCITRAL,Ecuador-US BIT,Pending,unknown,,Not applicable,,V.V. VEEDER,yes,Horacio Grigera Naón,yes,Vaughan LOWE,yes,"Not to be confused with its more famous fight in the Amazon, this claim by Chevron under the USA-Ecuador BIT arose out of a series of oil supply disputes that long languished in Ecuador's courts. In the early 1990s Chevron’s predecessor Texaco filed seven court cases, alleging that Ecuador violated their 1973 production contract by requiring the company to supply Ecuador with more oil, at below-market prices, than it needed internally. In 2006 Chevron filed an arbitration supervised by the Permanent Court of Arbitration in The Hague. In March 2010 arbitrators ruled that chronic delays in the Ecuadorian courts breached the treaty's guarantee of an effective means of defense. The tribunal found that the damage amounted to $698.6 million, but in August 2011 -- after accounting for taxes -- it awarded net damages of only $96.3 million. In May 2012 the District Court of the Hague declined to set aside the award; Ecuador’s appeal from that ruling is pending.  In July 2012, Chevron moved to confirm the award in the USA District Court for the District of Columbia.",http://www.italaw.com/cases/257
UNC354,Apotex Inc. v. The Government of the USA (II),2009,2012,USA,Canada,Apotex Inc.,pharmaceutics,UNCITRAL,NAFTA,In favour of the State,8827791.94,8000000,Not applicable,,V.V. VEEDER,yes,J. William ROWLEY,yes,John R. CROOK,yes,,
UNC357,Pac Rim Cayman LLC v. El Salvador (ICSID Case No. ARB/09/12),2009,,El Salvador,USA,Pac Rim Cayman LLC,Mining concession,ICSID,CAFTA,In favour of the State,220694798.6,200000000,Not applicable,,V.V. VEEDER,yes,Brigitte STERN,yes,Guido Santiago TAWIL,yes,"Pacific Rim, a North American mining company filed a claim under CAFTA after waiting many months for key mining exploration and exploitation permits. The company alleges that the permits are not forthcoming and that government regulators are sitting on their hands to appease critics of the project. The dispute has attracted considerable media scrutiny, with environmental groups and the local Catholic Church raising concerns as to potential risks to the country’s main water source.",
UNC413,Koch Minerals Sàrl and Koch Nitrogen International Sàrl v. Venezuela (ICSID Case No. ARB/11/19),2011,,Venezuela,Switzerland,Koch Minerals Sàrl and Koch Nitrogen International Sàrl,Construction and operation of fertilizer plant,ICSID,Switzerland-Venezuela BIT,Pending,684089464.3,650000000,Not applicable,,V.V. VEEDER,yes,Marc LALONDE,yes,Florentino P. FELICIANO,yes,,
UNC443,National Gas S.A.E. v. Arab Egypt (ICSID Case No. ARB/11/7),2011,2014,Egypt,United Arab Emirates,National Gas S.A.E.,Gas pipelines construction and operation agreement,ICSID,Egypt-United Arab Emirates BIT (1997),In favour of the State,105244533,100000000,Not applicable,,V.V. VEEDER,yes,L. Yves FORTIER,yes,Brigitte STERN,yes,,
UNC452,"DP World Callao S.R.L., P&O Dover (Holding) Limited, and The Peninsular and Oriental Steam Navigation Company v. Peru (ICSID Case No. ARB/11/21)",2011,,Peru,United Kingdom,"DP World Callao S.R.L., P&O Dover (Holding) Limited, and The Peninsular and Oriental Steam Navigation Company",Pier concession agreement,ICSID,Peru-United Kingdom BIT,Pending,231537972.5,220000000,Not applicable,,V.V. VEEDER,yes,Francisco ORREGO VICUÑA,yes,Claus VON WOBESER,yes,,
UNC458,Apotex Holdings Inc. and Apotex Inc. v. USA (ICSID Case No. ARB(AF)/12/1) (III),2012,2014,USA,Canada,Apotex Holdings Inc. and Apotex Inc.,Pharmaceutical enterprise,ICSID AF,NAFTA; Jamaica-USA BIT,In favour of the State,1031107085,1000000000,Not applicable,,V.V. VEEDER,yes,J. William ROWLEY,yes,John R. CROOK,yes,"Largest pending NAFTA arbitration against the United States. The USA Food and Drug Administration banned hundreds of millions of dollars in drug imports from Canada’s largest drugmaker, following the inspection of two Apotex manufacturing facilities. Apotex alleges that this measure was adopted without minimum due process, and discriminated arbitrarily between it and competing investors that received similar inspection findings. The respondent disputes Apotex’s claims. In January, the Tribunal denied the USA request to bifurcate the case, and set a hearing on all issues of jurisdiction and liability for November 2013.",
UNC459,"Mercer International, Inc. v. Canada (ICSID Case No. ARB(AF)/12/3)",2012,,Canada,USA,"Mercer International, Inc.",Pulp mill and electric power generation plant,ICSID AF,NAFTA,Pending,261901199.5,254000000,Not applicable,,V.V. VEEDER,yes,Francisco ORREGO VICUÑA,yes,Zachary DOUGLAS,yes,,
UNC487,LSF-KEB Holdings SCA and others v. Korea (ICSID Case No. ARB/12/37),2012,,Korea,Belgium/Luxembourg,LSF-KEB Holdings SCA and others,"Banking enterprise, engineering and construction services and commercial real estate",ICSID,Belgium and Luxembourg-Korea BIT (1974),Pending,2577767712,2500000000,Not applicable,,V.V. VEEDER,yes,Charles N. BROWER,yes,Brigitte STERN,yes,"Dallas-based Lone Star Funds says that South Korea channeled public hostility toward their successful private equity investment in Korea Exchange Bank, which the Korean press labeled “meoktwi,” or eat-and-run foreign capitalism. Through its Belgian subsidiaries, Lone Star alleges that Korean bank regulators repeatedly blocked attempts to sell its interest in the bank, and Korean tax authorities violated the guarantee of fair treatment provided in the BIT between Belgium and South Korea. The respondent disputes Lone Star’s claim. This is the first investment treaty claim against Korea, and the largest ever filed against an East Asian state.",
UNC520,EVN AG v. Bulgaria (ICSID Case No. ARB/13/17),2013,,Bulgaria,Austria,EVN AG,Electricity supply and distribution operations,ICSID,Austria-Bulgaria BIT; Energy Charter Treaty,Pending,,,Not applicable,,V.V. VEEDER,yes,Daniel M. PRICE,yes,Pierre-Marie DUPUY,yes,,
UNC549,Lone Pine Resources Inc. v. Canada (ICSID Case No. UNCT/15/2),2013,,Canada,USA,Lone Pine Resources Inc.,Shale gas exploration,UNCITRAL,NAFTA,Pending,111784406.6,110000000,Not applicable,,V.V. VEEDER,yes,David Haigh,yes,Brigitte STERN,yes,,http://www.italaw.com/cases/1606
UNC569,"Unión Fenosa Gas, S.A. v. Arab Egypt (ICSID Case No. ARB/14/4)",2014,,Egypt,Spain,"Unión Fenosa Gas, S.A.",Natural gas liquefaction operations,ICSID,Egypt-Spain BIT,Pending,,,Not applicable,,V.V. VEEDER,yes,J. William ROWLEY,yes,Mark A. CLODFELTER,yes,,
UNC439,Copper Mesa Mining Corporation v. Ecuador (PCA No. 2012-2),2011,,Ecuador,Canada,Copper Mesa Mining Corporation,copper mining,UNCITRAL,Canada-Ecuador BIT,Pending,126293439.6,120000000,Not applicable,,V.V. VEEDER,yes,Bernardo M. CREMADES,yes,Bruno Simma,yes,,Not found
UNC622,Enkev Beheer v. Poland,2012,2014,Poland,Netherlands,Enkev Beheer,factory,,Netherlands-Poland BIT,In favour of the State,,,Not applicable,,V.V. VEEDER,yes,Albert Jan VAN DEN BERG,yes,Klaus SACHS,yes,,iareporter
UNC355,The East Cement for Investment Company v. The Poland (ICC Case No. 16509/JHN),2009,2011,Poland,Jordan,The East Cement for Investment Company,cement,ICC,Jordan-Poland BIT,Discontinued (for unknown reasons or reasons other than settlement),160003729,145000000,Not applicable,,Ulf Franke,yes,Piero BERNARDINI,DU,,DU,,http://www.italaw.com/cases/366
