ID,CaseTitle,InitiationYear,ResolutionYear,RespondentState,ClaimantCountry,ClaimantName,InvestmentType,ArbitrationRules,LegalInstrument,OutcomeStatus,amountSought,amountSought_cur,amountAwarded,amountAwarded_cur,Arbitrator1,Arbitrator1President,Arbitrator2,Arbitrator2Claimant,Arbitrator3,Arbitrator3Respondent,description,italaw
UNC078,Tokios Tokelés v. Ukraine (ICSID Case No. ARB/02/18),2002,2007,Ukraine,Lithuania,Tokios Tokelés,Printing enterprise,ICSID,Lithuania-Ukraine BIT,In favour of the State,unknownValue,unknownValue,NA,DU,Michael MUSTILL,YES,Daniel M. PRICE,YES,Piero BERNARDINI,YES,unknownValue,unknownValue
UNC423,Detroit International Bridge Company v. Government of Canada (PCA Case No. 2012-25),2011,unknownValue,Canada,USA,Detroit International Bridge Company,bridge construction,UNCITRAL,NAFTA,Pending,1000000000,unknownValue,NA,DU,Yves Derains,Yes,Michael Chertoff,Yes,Vaughan Lowe,Yes,"A dispute over the Ambassador Bridge, a toll crossing between Detroit and Windsor, Ontario, that is ultimately owned by a private American company. Allegations center on Canada’s decision not to upgrade the access road to the Ambassador Bridge, and Canada’s construction of a new highway designed to divert traffic to a new planned crossing that it will partly own. The claimant argues, over Canada’s objection, that these actions violated investment protections contained in the North American Free Trade Agreement",http://www.italaw.com/cases/354
UNC379,"Border Timbers Limited, Timber Products International (Private) Limited, and Hangani Development Co. (Private) Limited v. Zimbabwe (ICSID Case No. ARB/10/25)",2010,2015,Zimbabwe,Switzerland,"Border Timbers Limited, Timber Products International (Private) Limited, and Hangani Development Co. (Private) Limited",Forestry and timber processing enterprises,ICSID,Switzerland-Zimbabwe BIT,Pending,320000000,unknownValue,NA,NA,L. Yves FORTIER,YES,Michael HWANG,YES,David A.R. WILLIAMS,YES,unknownValue,unknownValue
UNC275,Adria Beteiligungs v. Croatia,2007,2010,Croatia,Austria,Adria Beteiligungs,unknownValue,UNCITRAL,Austria-Croatia BIT,In favour of the State,100000000,unknownValue,unknownValue,unknownValue,Kaj Hobér,yes,Neil Kaplan,Yes,Hrvoje Sikiric,Yes,"Adria’s claims arose out of its dispute with the Croatian Lottery dating back to the early 1990s. The dispute related to two gaming joint ventures that pre-dated the dissolution of Yugoslavia. The business relationship between Adria and the Croatian Lottery deteriorated when Adria tried to seize management control of the joint ventures from the Croatian Lottery. This resulted in management deadlock in the joint ventures and (along with other factors) led the Croatian Lottery to terminate the joint ventures in 1994. Following the termination, Adria commenced legal proceedings against the Croatian Lottery in the courts of the Republic of Croatia. The Croatian court ordered the Croatian Lottery to pay EUR4.5 million compensation to Adria, but Adria continued to pursue a separate claim against the Croatian Lottery for lost profits before the Croatian courts. Adria also commenced an arbitration claim.",http://www.italaw.com/cases/47
UNC274,Frontier Petroleum Services Ltd. v. The Czech Republic,2007,2010,Czech Republic,Canada,Frontier Petroleum Services Ltd.,oil and gas,UNCITRAL,Canada-Czech Republic BIT,In favour of the State,DU,USD,NA,DU,David Williams,YES,Henri Alvarez,YES,Christoph Schreuer,YES,unknownValue,http://www.italaw.com/cases/459
UNC178,Duke Energy Electroquil Partners and Electroquil S.A. v. Ecuador (ICSID Case No. ARB/04/19),2004,2008,Ecuador,USA,Duke Energy Electroquil Partners and Electroquil S.A.,Power generation facilities,ICSID,Ecuador-United States BIT,In favour of the investor,100000000,unknownValue,28000000,USD,Gabrielle KAUFMANN-KOHLER,YES,Enrique GÓMEZ-PINZÓN,YES,Albert Jan VAN DEN BERG,YES,"DUnited Kingdome Energy netted an arbitral award of a mere $5.578 million out of more than $25 million sought from Ecuador. Arbitrators ruled that certain fines imposed on DUnited Kingdome were unwarranted, and that DUnited Kingdome was not paid on time for some of its generation activities. But when legal fees are factored in, DUnited Kingdome may have been better off avoiding arbitration.",unknownValue
UNC276,Impregilo S.p.A. v. Argentine Republic (ICSID Case No. ARB/07/17) (I),2007,2011,Argentina,Italy,Impregilo S.p.A.,Water services concession,ICSID,Argentina-Italy BIT,In favour of the investor,119000000,unknownValue,28000000,USD,Hans DANELIUS,YES,Charles N. BROWER,YES,Brigitte STERN,YES,The dispute involves the alleged breach of the Italy-Argentina bilateral investment treaty. Impregilo claims that Argentina has expropriated its share in a locally incorporated company engaged in the water-related public utility sector and violated other treaty standards through measures taken in connection with Argentina’s economic crisis.,unknownValue
UNC271,"Bureau Veritas, Inspection, Valuation, Assesment and Control, BIVAC B.V. v. Paraguay (ICSID Case No. ARB/07/9)",2007,2014,Paraguay,Netherlands,"Bureau Veritas, Inspection, Valuation, Assesment and Control, BIVAC B.V.",Service agreement,ICSID,Netherlands-Paraguay BIT,Settled,36100000,USD,DU,DU,Rolf KNIEPER,YES,L. Yves FORTIER,YES,Philippe SANDS,YES,unknownValue,http://www.italaw.com/cases/179
UNC270,Kaliningrad Region v. Lithuania,2007,2010,Lithuania,Russia,Kaliningrad Region,unknownValue,ICC,Lithuania-Russia BIT,In favour of the State,unknownValue,unknownValue,NA,NA,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,http://www.italaw.com/cases/593
UNC273,E.T.I. Euro Telecom International N.V. v. Plurinational State of Bolivia (ICSID Case No. ARB/07/28) (I),2007,2009,Bolivia,Netherlands,E.T.I. Euro Telecom International N.V.,Telecommunications enterprise,ICSID,Bolivia-Netherlands BIT,Settled,961600000,USD,proceedings discontinued,USD,Bruno SIMMA,YES,Francisco ORREGO VICUÑA,YES,Philippe SANDS,YES,"Bolivia withdrew from the International Centre for Settlement of Investment Disputes (ICSID) in 2007, citing political differences with the World Bank–affiliated organization and a perceived foreign investor bias. However, E.T.I., a Dutch subsidiary of Telecom Italia, filed for arbitration during the six-month window between Bolivia’s announcement and the country’s formal withdrawal from ICSID. Telecom Italia claims expropriation of its stake in the national telecommunications company Entel. Bolivia contends that ICSID arbitrators should not hear the case, and that its dispute with Telecom Italia relates to the company’s mismanagement and failure to make promised investments.",None
UNC272,Mobil Investments Canada Inc. and Murphy Oil Corporation v. Government of Canada (ICSID Case No. ARB(AF)/07/4),2007,2015,Canada,USA,Mobil Investments Canada Inc. and Murphy Oil Corporation,Petroleum development projects,ICSID AF,NAFTA,In favour of the investor,unknownValue,unknownValue,DU,DU,Hans VAN HOUTTE,YES,Merit JANOW,YES,Philippe SANDS,YES,unknownValue,unknownValue
UNC172,Cemex Asia Holdings Ltd v. Indonesia (ICSID Case No. ARB/04/3),2004,2007,Indonesia,Singapore,Cemex Asia Holdings Ltd,Cement production enterprise,ICSID,ASEAN Agreements,Settled,500000000,unknownValue,DU,DU,L. Yves FORTIER,YES,Robert VON MEHREN,YES,Brigitte STERN,YES,"The Mexican cement manufacturer Cemex SA de CV bought a 25 percent stake in the Indonesian state-owned cement producer, PT Semen Gresik, in 1998. Alleging management problems at regional subsidiaries of Semen Gresik, Cemex Asia sought the return of its investment or damages for breach of the conditional sale and purchase agreement. In addition, Cemex made the first ICSID claim under the 1987 ASEAN Treaty, citing expropriation and unfair and inequitable treatment. The case settled in August 2006 on confidential terms after Cemex Asia sold its stake in Semen Gresik to the Indonesia-based Rajawali Group for about $337 million. An award embodying the settlement was issued in February 2007. ",unknownValue
UNC173,ABCI Investments Limited v. Tunisia (ICSID Case No. ARB/04/12),2004,unknownValue,Tunisia,Netherlands,ABCI Investments Limited,Acquisition of shares,ICSID,Netherlands-Tunisia BIT,Pending,0,USD,NA,NA,Francisco ORREGO VICUÑA,YES,Piero BERNARDINI,YES,Brigitte STERN,YES,"Once known as the Arab Business Consortium International Finance & Investment Co, ABCI alleges that its interest in Tunisia’s Banque Franco-Tunisienne was expropriated. Claims are asserted under both Netherlands-Tunisia BIT and the domestic law governing international investment. The respondent disputes ABCI’s claims. In February 2011 a divided Tribunal upheld jurisdiction. Proceedings on the merits are currently suspended.",http://www.italaw.com/cases/37
UNC170,Jan de Nul N.V. and Dredging International N.V. v. Arab Egypt (ICSID Case No. ARB/04/13),2004,2008,Egypt,Belgium,Jan de Nul N.V. and Dredging International N.V.,Dredging project,ICSID,Belgium and Luxembourg-Egypt BIT,In favour of the State,100000000,unknownValue,NA,DU,Gabrielle KAUFMANN-KOHLER,YES,Pierre MAYER,YES,Brigitte STERN,YES,"A pair of Belgian dredging firms claimed that Egypt’s Suez Canal Authority deliberately misled them when they signed on to widen and deepen the Suez Canal. The companies expended far more time and money than they had anticipated, but were unsuccessful in their bid to hold Egypt liable for their additional expenditures. Arbitrators ruled that the actions of the Suez Canal Authority were not attributable to the Egyptian state, thus precluding any liability on the state’s part.",unknownValue
UNC171,BP America Production Company and others v. Argentine Republic (ICSID Case No. ARB/04/8),2004,2008,Argentina,USA,BP America Production Company and others,Hydrocarbon concession and electricity generation project,ICSID,Argentina-United States BIT,Settled,900000000,unknownValue,DU,DU,Lucius CAFLISCH,YES,Brigitte STERN,YES,Albert Jan VAN DEN BERG,YES,"BP claimed that investments in hydrocarbons and electricity production were sideswiped by the emergency measures introduced to stabilize the Argentine economy during a crisis earlier this decade. The Argentine government denies that the measures breached the treaty, and insists they were necessary due to the nature of the economic crisis. A settlement was reached in August 2008.",unknownValue
UNC176,CIT Group Inc. v. Argentine Republic (ICSID Case No. ARB/04/9),2004,2009,Argentina,USA,CIT Group Inc.,Leasing enterprise,ICSID,Argentina-United States BIT,Settled,unknownValue,unknownValue,DU,DU,Pierre-Marie DUPUY,YES,Claus VON WOBESER,YES,Christian TOMUSCHAT,YES,unknownValue,unknownValue
UNC177,Wintershall Aktiengesellschaft v. Argentine Republic (ICSID Case No. ARB/04/14),2004,2008,Argentina,Germany,Wintershall Aktiengesellschaft,Gas and oil production,ICSID,Argentina-Germany BIT,In favour of the State,285000000,unknownValue,NA,DU,Fali S. NARIMAN,YES,Santiago TORRES BERNÁRDEZ,YES,Piero BERNARDINI,YES,"Wintershall hoped to number amongst the dozens of foreign investors to sue over emergency measures taken during the Argentine financial crisis of the early 2000s. However, in December 2008, a panel of ICSID arbitrators declined jurisdiction over the claim. Arbitrators ruled that Wintershall failed to turn to the local courts for a minimum of 18 months—as required under the Germany–Argentina BIT—and that the claimant could not avoid this requirement by invoking the BIT’s Most-Favoured Nation (MFN) clause and seeking fast-track arbitration options contained in other treaties concluded by Argentina.",unknownValue
UNC174,Vannessa Ventures Ltd v. Venezuela (ICSID Case No. ARB(AF)/04/6),2004,2013,Venezuela,Canada,Vannessa Ventures Ltd,Gold and copper mining project,ICSID AF,Canada-Venezuela BIT,In favour of the State,1200000000,unknownValue,NA,DU,Vaughan LOWE,YES,Charles N. BROWER,YES,Brigitte STERN,YES,The Vannessa mining company claims that Venezuela expropriated its gold mine in violation of the Canada-Venezuela BIT. ,unknownValue
UNC175,SAUR International v. Argentine Republic (ICSID Case No. ARB/04/4),2004,2014,Argentina,France,SAUR International,Water and sewer services concession agreement,ICSID,Argentina-France BIT,In favour of the investor,257000000,unknownValue,60000000,USD,Juan FERNÁNDEZ-ARMESTO,YES,Bernard HANOTIAU,YES,Christian TOMUSCHAT,YES,"A BIT claim in the water sector, arising out of the Argentine financial crisis. The tribunal asserted jurisdiction in February 2006. Following a request by the parties, the proceedings have been suspended since October 2006.",unknownValue
UNC124,Eureko B.V. v. Poland,2003,2009,Poland,Netherlands,Eureko B.V.,unknownValue,UNCITRAL,Netherlands-Poland BIT,Settled,10000000000,USD,DU,DU,"Fortier, L. Y.",Yes,"Schwebel, S. M.",Yes,"Rajski, J.",Yes,"A dispute arising from the privatization of Poland’s largest insurer, PZU S.A. Arbitration was initiated in 2003 by the Dutch insurer Eureko B.V., which was frustrated by Poland’s refusal to bring PZU public, or to let Eureko acquire control. Eureko, which was PZU’s largest private shareholder, claimed that it was entitled to acquire control over PZU under a 1999 share purchase agreement and a 2001 addendum. In August 2005 the tribunal held Poland liable for violating the “umbrella clause” of its investment treaty with Netherlands, as well as its provisions on fair and equitable treatment and expropriation. The case settled in autumn 2009, before the arbitrators could rule on damages. The settlement cleared the way for PZU to go public in April 2010 and for Eureko to sell its stake to financial investors in November for $1.4 billion.",http://www.italaw.com/cases/412
UNC127,Telefónica S.A. v. Argentine Republic (ICSID Case No. ARB/03/20),2003,2009,Argentina,Spain,Telefónica S.A.,Telecommunications enterprise,ICSID,Argentina-Spain BIT,Settled,2800000000,unknownValue,DU,DU,Giorgio SACERDOTI,YES,Charles N. BROWER,YES,Eduardo SIQUEIROS T,YES,A BIT dispute in the telecommunications sector arising out of the Argentine currency crisis.,unknownValue
UNC049,Consortium R.F.C.C. v. Kingdom of Morocco (ICSID Case No. ARB/00/6),2000,2003,Morocco,Italy,Consortium R.F.C.C.,Construction of the section of a highway,ICSID,Italy-Morocco BIT,In favour of the State,unknownValue,unknownValue,NA,DU,Robert BRINER,YES,Bernardo M. CREMADES,YES,Ibrahim FADLALLAH,YES,unknownValue,unknownValue
UNC479,Telefónica S.A. v. United Mexican States (ICSID Case No. ARB(AF)/12/4),2012,unknownValue,Mexico,Spain,Telefónica S.A.,Telecommunications services,ICSID AF,Spain-Mexico BIT,Pending,unknownValue,unknownValue,NA,NA,Eduardo ZULETA,YES,Horacio A. GRIGERA NAÓN,YES,Ricardo RAMÍREZ HERNÁNDEZ,YES,unknownValue,unknownValue
UNC478,Serafín García Armas and Karina García Gruber v. The Venezuela (PCA Case No. 2013-3),2012,unknownValue,Venezuela,Spain,Serafín García Armas and Karina García Gruber,food,UNCITRAL,Spain-Venezuela BIT,Pending,40000000,USD,NA,NA,Eduardo Grebler,YES,Guido Santiago Tawil,YES,Rodrigo Oreamuno Blanco,YES,unknownValue,http://www.italaw.com/cases/2869
UNC006,Leaf Tobacco A. Michaelides S.A. and Greek-Albanian Leaf Tobacco & Co. S.A. v. Albania (ICSID Case No. ARB/95/1),1995,1997,Albania,Greece,Leaf Tobacco A. Michaelides S.A. and Greek-Albanian Leaf Tobacco & Co. S.A.,Tobacco manufacturing and warehousing,ICSID,Albania-Greece BIT,Settled,unknownValue,unknownValue,DU,DU,Karl-Heinz Böckstiegel,unknownValue,Fred Fielding,unknownValue,Andrea Giardina,unknownValue,unknownValue,unknownValue
UNC007,France Telecom v. Poland,1996,unknownValue,Poland,France,France Telecom,minority shareholding in Polish cellular phone company,UNCITRAL,France-Poland BIT,Settled,unknownValue,unknownValue,DU,DU,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,Not found
UNC004,Saar Papier Vertriebs GmbH v. Poland (I),1994,1995,Poland,Germany,Saar Papier Vertriebs GmbH,waste paper enterprise,UNCITRAL,Germany-Poland BIT,In favour of the investor,1587000,USD,1380000,unknownValue,Pierre Karrer,Yes,Georg Ahrens,Yes,Tadeusz Szurski,Yes,unknownValue,http://www.italaw.com/cases/946; http://www.italaw.com/documents/investment_investsd_jan5_2004_000.pdf
UNC005,Antoine Goetz and others v. Burundi (ICSID Case No. ARB/95/3) (I),1995,2012,Burundi,Belgium,Antoine Goetz and others,"Mining, banking and service enterprises",ICSID,Belgium and Luxembourg-Burundi BIT,Settled,unknownValue,unknownValue,2990000,USD,Gilbert GUILLAUME,YES,Jean-Denis BREDIN,YES,Ahmed Sadek EL-KOSHERI,YES,unknownValue,unknownValue
UNC002,"American Manufacturing & Trading, Inc. v. Zaire (ICSID Case No. ARB/93/1)",1993,1997,DRC,USA,"American Manufacturing & Trading, Inc.",Manufacturing and trading enterprise,ICSID,"Congo, Democratic (former Zaire)-United States BIT",In favour of the investor,unknownValue,unknownValue,9000000,unknownValue,Sompong SUCHARITKUL,YES,Heribert GOLSONG,YES,Kéba MBAYE,YES,unknownValue,unknownValue
UNC003,Philippe Gruslin v. Malaysia (ICSID Case No. ARB/94/1) (I),1994,1996,Malaysia,Belgium,Philippe Gruslin,Construction enterprise,ICSID,Belgium-Luxembourg-Malaysia BIT,Settled,unknownValue,unknownValue,DU,DU,Sompong SUCHARITKUL,YES,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,Not found
UNC001,Asian Agricultural Products Ltd. (AAPL) v. Sri Lanka (ICSID Case No. ARB/87/3),1987,1990,Sri Lanka,United Kingdom,Asian Agricultural Products Ltd. (AAPL),Shrimp farming joint venture,ICSID,Sri Lanka-United Kingdom BIT,In favour of the investor,unknownValue,unknownValue,610000,USD,Ahmed Sadek EL-KOSHERI,YES,Samuel K.B. ASANTE,YES,Berthold GOLDMAN,YES,unknownValue,unknownValue
UNC008,Ameritech v. Poland,1996,unknownValue,Poland,USA,Ameritech,minority shareholding in Polish cellular phone company,UNCITRAL,Poland-United States BIT,Settled,unknownValue,unknownValue,DU,DU,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,"During the 1990’s, Ameritech (now SBC Communications) provided analogue cellular telephone service through a joint-venture with Poland's state-owned telephone company. Ameritech filed for arbitration against the Polish Government under the UNCITRAL rules in 1996, alleging that the Polish authorities had violated contractual undertakings and provisions of the U.S.-Poland bilateral investment treaty when Poland declined to award a digital GSM cellular licence to Ameritech and instead put the licence out for tender. Ameritech disposed of its stake in the Polish joint-venture in December of 1996 and settled its arbitration claim with Poland around the same time. Terms were never made public.",Not found
UNC009,"Biedermann International, Inc. v. The Kazakhstan and The Association for Social and Economic Development of Western Kazakhstan ""Intercaspian"" (SCC Case No. 97/1996)",1996,1999,Kazakhstan,USA,"Biedermann International, Inc.",oil concession,SCC,Kazakhstan-United States BIT,In favour of the investor,unknownValue,unknownValue,8900000,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue,unknownValue
UNC549,Lone Pine Resources Inc. v. Canada (ICSID Case No. UNCT/15/2),2013,unknownValue,Canada,USA,Lone Pine Resources Inc.,Shale gas exploration,UNCITRAL,NAFTA,Pending,110000000,USD,NA,NA,V.V. Veeder,Yes,David Haigh,Yes,Brigitte Stern,Yes,unknownValue,http://www.italaw.com/cases/1606
UNC410,"Gambrinus, Corp. v. Bolviarian Venezuela (ICSID Case No. ARB/11/31)",2011,2015,Venezuela,Barbados,"Gambrinus, Corp.",Fertilizer enterprise,ICSID,Barbados-Venezuela BIT,Pending,150000000,unknownValue,NA,NA,Piero BERNARDINI,YES,Marc LALONDE,YES,Pierre-Marie DUPUY,YES,unknownValue,unknownValue
UNC413,Koch Minerals Sàrl and Koch Nitrogen International Sàrl v. Venezuela (ICSID Case No. ARB/11/19),2011,unknownValue,Venezuela,Switzerland,Koch Minerals Sàrl and Koch Nitrogen International Sàrl,Construction and operation of fertilizer plant,ICSID,Switzerland-Venezuela BIT,Pending,650000000,unknownValue,NA,NA,V.V. VEEDER,YES,Marc LALONDE,YES,Florentino P. FELICIANO,YES,unknownValue,unknownValue
UNC412,Burimi SRL and Eagle Games SH.A v. Albania (ICSID Case No. ARB/11/18),2011,2013,Albania,Italy,Burimi SRL and Eagle Games SH.A,Gaming industry,ICSID,Albania-Italy BIT,In favour of the State,unknownValue,unknownValue,NA,DU,Daniel M. PRICE,YES,Bernardo M. CREMADES,YES,Ibrahim FADLALLAH,YES,unknownValue,unknownValue
UNC415,Vigotop Limited v. Hungary (ICSID Case No. ARB/11/22),2011,2014,Hungary,Cyprus,Vigotop Limited,Resort development,ICSID,Cyprus-Hungary BIT,In favour of the State,400000000,unknownValue,NA,NA,Klaus SACHS,YES,Doak BISHOP,YES,Veijo HEISKANEN,YES,unknownValue,unknownValue
UNC414,"Khan Resources Inc., Khan Resources B.V. and Cauc Holding Company Ltd. v. the Government of Mongolia and Monatom Co., Ltd.",2011,2015,Mongolia,Canada/Netherlands/British Virgin Islands,"Khan Resources Inc., Khan Resources B.V. and Cauc Holding Company Ltd.",unknownValue,UNCITRAL,Energy Charter Treaty,In favour of the investor,358000000,USD,91000000,USD,"Williams, D. A. R.",Yes,"Fortier, L. Y.",Yes,"Hanotiau, B.",Yes,unknownValue,http://www.italaw.com/cases/604
UNC417,Tulip Real Estate Investment and Development Netherlands B.V. v. Turkey (ICSID Case No. ARB/11/28),2011,2014,Turkey,Netherlands,Tulip Real Estate Investment and Development Netherlands B.V.,Residential and commercial construction project,ICSID,Netherlands-Turkey BIT,In favour of the State,450000000,USD,NA,DU,Gavan GRIFFITH,YES,Michael Evan JAFFE,YES,Rolf KNIEPER,YES,unknownValue,http://www.italaw.com/cases/1124
UNC416,Mr. Franck Charles Arif v. Moldova (ICSID Case No. ARB/11/23),2011,2013,Moldova,France,Mr. Franck Charles Arif,Duty free concessions,ICSID,France-Moldova BIT,In favour of the investor,unknownValue,unknownValue,2780000,USD,Bernardo M. CREMADES,YES,Bernard HANOTIAU,YES,Rolf KNIEPER,YES,unknownValue,unknownValue
UNC419,Mesa Power Group LLC v. Government of Canada (PCA Case No. 2012-17),2011,unknownValue,Canada,USA,Mesa Power Group LLC,renewable energy,UNCITRAL,NAFTA,Pending,788000000,unknownValue,NA,NA,Gabrielle Kaufmann-Kohler,Yes,Charles Brower,Yes,Toby Landau,Yes,unknownValue,www.italaw.com/cases/1619
