ID,FISCAL YEAR,AMOUNT IN CONTROVERSY,amountSought,DISPUTE,Claimant name,Claimant country,Respondent State,CLAIMANT COUNSEL,RESPONDENTSCOUNSEL,ARBITRAL INST SITE,ARBITRATORS,Arbitrator1,Arbitrator2,Arbitrator3,description,SOURCE,TYPE
UNC173,2013,$1 billion,1000000000,ABCI Investments N.V. v. Tunisia,ABCI Investments N.V.,Netherlands,Tunisia,Patrick Julliard; Kimbrough & Associes,Herbert Smith Freehills,ICSID,Brigitte Stern; Piero Bernardini; Francisco Orrego-Vicuna,Brigitte Stern,Piero Bernardini,Francisco Orrego-Vicuna,"Once known as the Arab Business Consortium International Finance & Investment Co, ABCI alleges that its interest in Tunisia’s Banque Franco-Tunisienne was expropriated. Claims are asserted under both Netherlands-Tunisia BIT and the domestic law governing international investment. The respondent disputes ABCI’s claims. In February 2011 a divided Tribunal upheld jurisdiction. Proceedings on the merits are currently suspended.",,TREATY
UNC174,2013,$1.2 billion,1200000000,Vannessa Ventures v. Venezuela,Vannessa Ventures,Canada,Venezuela,Torys; Essex Chambers,Foley Hoag,ICSID/Paris,Vaughan Lowe; Charles Brower; Jan Paulsson,Vaughan Lowe,Charles Brower,Jan Paulsson,"In a dispute filed under the Canada-Venezuela investment treaty in 2004, Vannessa sought restitution for its alleged contractual rights in a gold mine concession confiscated by Venezuela, and damages for the delayed development of a mining project. The tribunal rejected Vannessa’s claims on the merits in January 2013. A claim by Crystallex International Corporation, which professes to be the rightful owner of the same concession, is still pending.",,TREATY
UNC175,2013,$257 million,257000000,"EDF International S.A., SAUR International S.A., and León Participaciones Argentinas S.A. v.  Argentina",EDF International S.A.,France,Argentina,"Arnold & Porter; Rattagan, Macchiavello, Arocena & Peña Robirosa Abogados",Argentine Attorney General's Office,"ICSID/Washington, D.C.",William Park; Gabrielle Kaufmann-Kohler; Jesús Remón,William Park,Gabrielle Kaufmann-Kohler,Jesús Remón,,,TREATY
UNC181,2013,$1 billion,1000000000,"Ioan Micula, Viorel Micula, SC European Food SA, SC Starmill SRL and SC Multipack SRL. v. Government of Romania",Ioan Micula,Romania,Romania,Shearman & Sterling; King & Spalding; Arnold & Porter; Muscat & Asociati,Freshfields Bruckhaus Deringer; Nestor Nestor Diculescu Kingston Petersen,ICSID/Paris,Laurent Lévy; Stanimir Alexandrov; Claus-Dieter Ehlermann,Laurent Lévy,Stanimir Alexandrov,Claus-Dieter Ehlermann,"Swedish investors in the Romanian food and beverage sector allege under the Sweden-Romania BIT that Romania improperly revoked tax exemptions for raw material imports used by factories in disadvantaged areas of the country. Romania contends, among other things, that these steps were legitimately and necessarily taken as part of the EU accession process. In 2010 the EU filed an amicus brief in support of Romania. The parties argued the case in November 2010, and now await the tribunal's award.",,TREATY
UNC184,2013,$605.3 million,605000000,Daimler Financial Services AG v. Government of Argentina,Daimler Financial Services AG,Germany,Argentina,Arnold & Porter; Kelley Drye & Warren,Argentine Attorney General's Office,"ICSID/Washington, D.C.",Pierre-Marie Dupuy; Charles Brower; Domingo Bello Janeiro,Pierre-Marie Dupuy,Charles Brower,Domingo Bello Janeiro,,,TREATY
UNC204,2013,$100 million,100000000,Ioannis Kardassopoulos(Greece) and Ron Fuchs v. Georgia,Ioannis Kardassopoulos,Greece,Georgia,"Skadden, Arps, Slate, Meagher & Flom",Lathan & Watkins; DLA Piper,ICSID/London,L. Yves Fortier; Francisco Orrego Vicüna; Vaughan Lowe,L. Yves Fortier,Francisco Orrego Vicüna,Vaughan Lowe,,,TREATY
UNC214,2013,$114 billion,114000000000,"Yukos Universal Limited v. Russian Federation; Veteran Petroleum Limited v. Russian Federation; Hulley Enterprises, Ltd. v. Russian Federation",Yukos Universal Limited,Cyprus,Russia,Shearman & Sterling,Baker Botts; Cleary Gottlieb Steen & Hamilton,Permanent Court of Arbitration (Ad hoc/UNCITRAL)/The Hague,L. Yves Fortier;  Charles Poncet;  Stephen Schwebel,L. Yves Fortier,Charles Poncet,Stephen Schwebel,"An historic trio of cases brought against Russia by the majority shareholders of the defunct Yukos Oil Company. Claimants argue that Russia drove Yukos into bankruptcy through allegedly inflated tax claims in a vendetta against former CEO Mikhail Khodorkovsky. In its defense, Russia has argued that its courts properly adjudicated genuine tax offenses. Citing unfair treatment and expropriation in violation of the Energy Charter Treaty, claimants currently seek damages of $114 billion.  In November 2009 the tribunal asserted jurisdiction. The case was tried over five weeks in October and November 2012. The arbitrators’ decision is pending. In related cases involving token damages, minority shareholders of Yukos largely persuaded arbitrators of their story, while Yukos management obtained mixed results in the European Court of Human Rights. See The Global Lawyer: Yukos and its $100 Billion Trial Balloons (Am Law Litigation Daily, July 29, 2012). LINK: http://www.americanlawyer.com/digestTAL.jsp?id=1202564878685&The_Global_Lawyer_Yukos_and_its_100_Billion_Trial_Balloons",,TREATY
UNC219,2013,$10.1 billion,10100000000,Libananco Holdings Co. Limited v. Turkey,Libananco Holdings Co. Limited,Cyprus,Turkey,Crowell & Moring; Volterra Fietta,Freshfields Bruckhaus Deringer; Cosar AvUnited Kingdomatlik Burosu,"ICSID/Washington, D.C., and Paris",Michael Hwang; Henri Alvarez; Frank Berman; Andrés Rigo Sureda; Hans Danelius; Eduardo Silva Romero,Michael Hwang,Henri Alvarez,"Frank Berman; Andrés Rigo Sureda; Hans Danelius; Eduardo Silva Romero
","In 2003, Turkey canceled two power concessions held by the family of Turkish businessman and politician Cem Uzan. While Uzan has maintained that his family’s business empire was dismantled for political reasons, Turkey says that Uzan is a fraudster, and Libananco his stalking horse. In September 2011 the tribunal declined jurisdiction because Libananco could not prove that ownership of shares in the companies had been transferred to Libananco before Turkey canceled the concessions. The arbitrators also ordered the claimant to pay $15 million of Turkey’s $35.7 million in legal fees, expert fees, and costs. In January 2012 an ICSID review committee heard Libananco’s argument that the award should be annulled based on a manifest excess of power by the tribunal and a serious departure from fundamental rules of procedure. A central element of the argument for annulment was the allegation that Turkey intercepted privileged emails from the Uzans to their counsel at Crowell & Moring, as part of a criminal investigation and surveillance program that Turkey acknowledges having conducted. In May 2013, exactly ten years after the Uzans were first accused of bank fraud, the petition for annulment was denied. This appears to be the Uzans’ last gasp in treaty arbitration. They or their proxies have lost on jurisdictional or procedural grounds four arbitrations against Turkey collectively valued at about $39 billion. In March 2011, they lost a $165 billion European Court of Human Rights claim on the merits.",,TREATY
UNC222,2013,$187.2 million,187000000,Vestey Group Limited v. Venezuela,Vestey Group Limited,United Kingdom,Venezuela,Freshfields Bruckhaus Deringer; Travieso Evans,Fernando Mantilla-Serrano; Shearman & Sterling,ICSID,Gabrielle Kauffmann-Kohler; Horacio Grigera Naon; Pierre-Marie Dupuy,Gabrielle Kauffmann-Kohler,Horacio Grigera Naon,Pierre-Marie Dupuy,,,TREATY
UNC228,2013,$200 million,200000000,The Rompetrol Group N.V. v. Romania,The Rompetrol Group N.V.,Netherlands,Romania,Dentons,Lalive; Tanasescu & Associatii,ICSID/Paris,Sir Franklin Berman; Marc Lalonde; Donald Francis Donovan,Sir Franklin Berman,Marc Lalonde,Donald Francis Donovan,,,TREATY
UNC234,2013,$180 million,180000000,Spyridon Roussalis v. The Romania,Spyridon Roussalis,Greece,Romania,Costea Partners; Stern Advisory Group,Winston & Strawn,ICSID/Paris,Bernard Hanotiau; Michael Reisman; Andrea Giardina,Bernard Hanotiau,Michael Reisman,Andrea Giardina,,,TREATY
UNC239,2013,$3.4 billion,3400000000,Occidental Petroleum Corporation and Occidental Exploration and Production Company v. Ecuador,Occidental Petroleum Corporation  and Occidental Exploration and Production Company,USA,Ecuador,Debevoise & Plimpton; Covington & Burling,Squire Sanders; Dechert; Attorney General of Ecuador,ICSID/Paris,L. Yves Fortier; David Williams; Brigitte Stern,L. Yves Fortier,David Williams,Brigitte Stern,"Occidental won an earlier treaty arbitration with Ecuador over value-added tax in 2004. In a step that the company perceived as retaliatory, Ecuador seized its concession on May 15, 2006. Two days later, Occidental filed this arbitration. In October 2012, the tribunal found unanimously that -- although Occidental had breached Ecuadorian law by farming out an economic interest in its oil concession to Encana Corporation without government approval -- Ecuador’s termination of the contract was disproportionate, expropriatory, and unfair and inequitable. In addition, the arbitrators found that Ecuador’s 2006 windfall profits tax was unfair and inequitable. Occidental received a record BIT award of $1.77 billion plus interest (totaling $2.3 billion as of the date of the award), with Professor Stern dissenting on the level of damages. Forty percent would go to Encana’s successor in Ecuador, Andes Petroleum Ecuador Ltd., which is jointly owned by China National Petroleum Corporation and Sinopec Corp. Ecuador is seeking an annulment.",,TREATY
UNC243,2013,$19 billion,19000000000,Chevron Corp. (U.S) and Texaco Petroleum Company (U.S) v. Ecuador,Chevron Corp.,U.S,Ecuador,King & Spalding,Winston & Strawn,Ad hoc (UNCITRAL)/The Hague,V.V. Veeder; Vaughn Lowe; Horatio Grigera Naon,V.V. Veeder,Vaughn Lowe,Horatio Grigera Naon,"An arbitration designed to protect Chevron from the epic environmental trial in the Ecuadorian Amazon, where plaintiffs claimed up to $113 billion in damages and won a $19 billion judgment in February 2011, which they seek to enforce in Argentina, Brazil, and Canada. In the underlying suit, local residents alleged that Chevron's predecessor Texaco Inc. devastated the area through its oil operations in Ecuador from 1972 to 1992. Chevron has filed 23 actions for USA discovery in aid of arbitration, and a New York civil action against the plaintiffs team for racketeering, where it argued that the verdict was procured by fraud and corruption. Ecuador and the plaintiffs dispute Chevron’s allegations. In fall 2012, the arbitrators held a first-phase trial on the merits, to consider whether Ecuador breached a release agreement signed with Texaco in return for a limited cleanup by the oil company. At a second trial in January 2014, they are to consider whether Ecuador's courts deprived Chevron of the effective means of defense guaranteed by the USA-Ecuador investment treaty, or effected a denial of justice under international law. Meanwhile, the parties have clashed over interim measures. In February 2011, the tribunal ordered Ecuador to take all measures at its disposal to suspend enforcement of the judgment. The Ecuadorian judgment arrived five days later. In February 2012, the tribunal asserted jurisdiction, while reiterating and particularizing its order to suspend enforcement. The Ecuadorian judgment was finalized five months later. In February 2013 the tribunal found that Ecuador had violated its interim measures and ordered Ecuador to explain why it should not compensate Chevron for any harm caused. Ecuador has asked the tribunal to reconsider its conclusion that Ecuador violated its interim orders. The parties are briefing both questions this summer. In principle, the arbitrators may, in their interim or final decision, order Ecuador to reimburse Chevron for its stratospheric attorneys’ fees, as well as for any damages collected by the plaintiffs.",,TREATY
UNC258,2013,Up to $1.8 billion,1800000000,Shell Nigeria Ultra Deep v. Federal Nigeria,Shell Nigeria Ultra Deep,Nigeria,Nigeria,Clifford Chance,Alegeh & Co,"ICSID/Washington, D.C.",William Park; Hamad Gharavi; Nahil El Araby,William Park,Hamad Gharavi,Nahil El Araby,"Shell claimed that the Nigerian government breached the protections of the Nigeria-Netherlands BIT when the government ordered thatShell lose its rights under a production-sharing contract between Shell Nigeria and Nigeria's state petroleum company (NNPC)  and be replaced by Malabu Oil & Gas Limited, which is allegedly controlled by a former petroleum minister. The case was discontinued in August 2011, when Nigeria agreed to allocate the oil block to a joint venture of Shell and ENI for a payment of about $1.1 billion. According to Africa Today, the companies stated that their agreement was only with the government, but Nigeria's attorney general stated that the money was paid to Malabu with Nigeria acting as an obligor, prompting a protest by the transparency NGO Global Witness.",,TREATY
UNC259,2013,$100 million,100000000,"Rovime Inversiones Sicav S.A, Quasar De va lores Sicav S.A., Orgor de va Sicav S.A, and GBI Gooo Sicav S.A. v. Russian Federation","Rovime Inversiones Sicav S.A , Quasar De va lores Sicav S.A., Orgor de va Sicav S.A, and GBI Gooo Sicav S.A.",Spain,Russia,Covington & Burling,Baker Botts,SCC/Stockholm,Charles Brower; Toby Landau; Jan Paulsson,Charles Brower,Toby Landau,Jan Paulsson,,,TREATY
UNC264,2013,$1 billion,1000000000,Urbaser S.A. and Consorcio de Aguas Bilbao Bizkaia v. Attorney General of Argentina,Urbaser S.A.  and Consorcio de Aguas Bilbao Bizkaia,Spain,Argentina,Jones Day,Argentine Attorney General's Office,ICSID,Andreas Bucher; Campbell McLachlan; Pedro Martínez Fraga,Andreas Bucher,Campbell McLachlan,Pedro Martínez Fraga,Spanish water utilities are suing under the Spain-Argentina BIT over the treatment of their Buenos Aires concession during the peso crisis of 2001-02. In December 2012 the arbitrators asserted jurisdiction.,,TREATY
UNC275,2013,More than $100 million,100000000,Adria Beteiligungs GmbH v. Croatia,Adria Beteiligungs GmbH,Austria,Croatia,NautaDutilh,Volterra Fietta; Hanotiau & van den Berg,Ad hoc (UNCITRAL)/The Hague,Kaj Hobér; Neil Kaplan; Hrvoje Sikiric,Kaj Hobér,Neil Kaplan,Hrvoje Sikiric,,,TREATY
UNC276,2013,$119 million,119000000,Impregilo SpA v. Argentina,Impregilo SpA,Italy,Argentina,King & Spalding,Argentine Attorney General's Office,"ICSID/Washington, D.C.",Hans Danelius; Charles Brower; Brigitte Stern,Hans Danelius,Charles Brower,Brigitte Stern,,,TREATY
UNC277,2013,$500 million,500000000,"Sergei Paushok, CJSC Golden East Company, and CJSC Vostokneftegaz Company v. Government of Mongolia","Sergei Paushok , CJSC Golden East Company, and CJSC Vostokneftegaz Company",Russia,Mongolia,Squire Sanders,Milbank Tweed,Ad hoc (UNCITRAL)/The Hague,Marc Lalond.;  Horacio Grigera Naón; Brigitte Stern,Marc Lalond.,Horacio Grigera Naón,Brigitte Stern,,,TREATY
UNC279,2013,$700 million,700000000,Electrabel S.A. v. Government of Hungary,Electrabel S.A.,Belgium,Hungary,Freshfields Bruckhaus Deringer; Faludi Wolf Theiss,Arnold & Porter; Law Offices of Dr. János Katona,"ICSID/Washington, D.C.",V.V. Veeder; Gabrielle Kaufmann-Kohler; Brigitte Stern,V.V. Veeder,Gabrielle Kaufmann-Kohler,Brigitte Stern,,,TREATY
UNC283,2013,$109 million,109000000,Hochtief AG v. . Argentina,Hochtief AG,Germany,Argentina,Kelley Drye & Warren,Argentine Attorney General's Office,"ICSID/Washington, D.C.",Vaughan Lowe; J. Christopher Thomas; Charles Brower,Vaughan Lowe,J. Christopher Thomas,Charles Brower,,,TREATY
UNC285,2013,$2.67 billion,2670000000,Giovanna a Beccara et al. v. Argentina,Giovanna a Beccara et al.,Italy,Argentina,"White & Case; Pérez Alati, Grondona, Benites, Arntsen, Martínez de Hoz; Legance Studio Legale Associato",Cleary Gottlieb Steen & Hamilton; Argentine Attorney General's Office,"ICSID/Washington, D.C.",Pierre Tercier;  Santiago Torres Bernardez; Albert Jan van den Berg,Pierre Tercier,Santiago Torres Bernardez,Albert Jan van den Berg,"A claim by Italian bondholders who declined to accept settlements offered by Argentina in the aftermath of its sovereign debt default. Originally, more than 180,000 investors alleged unfair and discriminatory treatment and expropriation under the Italy-Argentina investment treaty. A new bond exchange by Argentina in 2010 peeled away two-thirds of the claimants. The largest arbitration to arise out of Argentina's crisis, it was also the first treaty claim to challenge a sovereign restructuring. In August 2011, a divided tribunal asserted jurisdiction – finding that sovereign bonds are protected investments, and green-lighting the first mass claim in investment arbitration history. While the World Bank tribunal slowly works out the logistics of trying such a claim, the New York federal courts have dramatically ruled in favor of institutional bondholders like Elliott Associates. The Beccara claimants – who hedged their bets from the start by filing and then staying lawsuits in federal court – theoretically stand to benefit from any anti-Argentina precedent that survives final appeal in New York.",,TREATY
UNC289,2013,$600 million,600000000,Turkcell Iletişim Hizmetleri A.Ş. v. Islamic Iran,Turkcell Iletişim Hizmetleri A.Ş.,Turkey,Islamic Iran,Yüksel Yüksel Karkin Küçük; DLA Piper United Kingdom,"Director, Centre for International Legal Affairs Islamic Iran; Eversheds; Essex Court Chambers",Administered by the PCA/London,Neil Kaplan; Mir Hossein Abedian Kalkhoran; Charles Brower,Neil Kaplan,Mir Hossein Abedian Kalkhoran,Charles Brower,,,TREATY
UNC290,2013,$1.5 billion,1500000000,Cemex Caracas Investments B.V. and Cemex Caracas II Investments B.V. v. Venezuela,Cemex Caracas Investments B.V.,Netherlands,Venezuela,"Skadden, Arps, Slate, Meagher & Flom","Curtis, Mallet-Prevost, Colt & Mosle","ICSID/Washington, D.C.",Gilbert Guillaume; Robert von Mehren; Georges Abi-Saab,Gilbert Guillaume,Robert von Mehren,Georges Abi-Saab,"Mexico’s CEMEX, through its Dutch subsidiaries, claimed losses arising out of Venezuela's 2008 nationalization of that country's largest cement business. In December 2010 arbitrators confirmed that Venezuela's withdrawal from Netherlands-Venezuela BIT came too late to short-circuit the claims. However, arbitrators declined jurisdiction over claims brought under Venezuela's ambiguously-worded investment law.In December 2011 -- only weeks after CEMEX had filed its final merits brief, and two months before trial -- Venezuela settled the case for $600 million.",,TREATY
UNC298,2013,$2 billion,2000000000,Caratube International Oil Company LLP v. Kazakhstan,Caratube International Oil Company LLP,USA,Kazakhstan,Derains & Gharavi; Crowell & Moring,"Curtis, Mallet-Prevost, Colt & Mosle",ICSID/Paris,Karl-Heinz Böckstiegel; Gavan Griffith; Kamal Hossain; Hans Danelius; Juan Fernandez-Armesto; Cecil W. M. Abraham,Karl-Heinz Böckstiegel,Gavan Griffith,"Kamal Hossain; Hans Danelius;Juan Fernandez-Armesto;Cecil W. M. Abraham
","Caratube claims that Kazakhstan expropriated its long-term contract to explore and develop hydrocarbons in the Aktobe region of the country. In August 2010 a federal court in the District of Columbia declined Caratube's motion for discovery in aid of arbitration under 28 USAC. section 1782. After a February 2011 trial, the case was dismissed in June 2012 for lack of jurisdiction. An annulment petition is pending.",,TREATY
UNC301,2013,$1.6 billion,1600000000,OAO Tatneft v. United Kingdom,OAO Tatneft,Russia,United Kingdom,Cleary Gottlieb Steen & Hamilton,King & Spalding; Grischenko & Partners,Ad hoc (UNCITRAL); PCA–BIT Arbitration/Paris,Francisco Orrego Vicuña; Charles Brower; Marc Lalonde,Francisco Orrego Vicuña,Charles Brower,Marc Lalonde,"Suing under the Russia-United Kingdom BIT, Tatneft complains that the United Kingdomrainian judiciary allowed its investment in the Kremenchug oil refinery to be stolen by local business interests, and that the United Kingdomrainian executive allowed a former manager to forcibly seize the facility in October 2007. The respondent disputes Tatneft’s claim. The arbitrators asserted jurisdiction in September 2010, and presided over the trial in March 2013.",,TREATY
UNC311,2013,$2 billion,2000000000,Burlington Resources Inc. v. Ecuador,Burlington Resources Inc.,USA,Ecuador,Freshfields Bruckhaus Deringer; King & Spalding; Paz Horowitz,Dechert,ICSID/Paris,Gabrielle Kaufmann-Kohler; Brigitte Stern; Francisco Orrego Vicuña,Gabrielle Kaufmann-Kohler,Brigitte Stern,Francisco Orrego Vicuña,"Burlington is one of several energy companies to challenge Ecuador's Law No. 42, a windfall levy slapped on ""excess energy profits."" In June 2010 arbitrators asserted jurisdiction over certain claims, while declining to hear others because the USA-Ecuador BIT applies only in limited ways to ""tax"" measures by a state. In December 2012 they ruled in Burlington’s favor on liability. In August, the tribunal will hear arguments on damages  as well as Ecuador’s environmental counterclaim, alleging that Burlington contaminated two oil-producing blocks in the Amazon region of Ecuador.",,TREATY
UNC313,2013,$104 million,104000000,Alapli Elektrik BV Netherlands) v. Turkey,Alapli Elektrik BV Netherlands),Netherlands,Turkey,Latham & Watkins; Volterra Fietta,Sidley Austin,ICSID/Paris,William Park; Mark Lalonde; Brigitte Stern; Bernard Hanotiau; Karl-Heinz Böckstiegel; Makhdoom Ali Khan,William Park,Mark Lalonde,"Brigitte Stern; Bernard Hanotiau; Karl-Heinz Böckstiegel; Makhdoom Ali Khan
",,,TREATY
UNC317,2013,$125 million,125000000,InterTrade Holding BmgH v. Czech Republic,InterTrade Holding BmgH,Germany,Czech Republic,Python & Peter,Noerr; Squire Sanders,Ad hoc (UNCITRAL)/Paris,L. Yves Fortier; Henri Alvarez; Brigitte Stern,L. Yves Fortier,Henri Alvarez,Brigitte Stern,,,TREATY
UNC318,2013,$3 billion,3000000000,Perenco Ecuador Limited) v. Ecuador,Perenco Ecuador Limited,Ecuador,Ecuador,Debevoise & Plimpton; Covington & Burling,Dechert; Attorney General of Ecuador;,"ICSID/Washington, D.C.",Neil Kaplan; J. Christopher Thomas; Peter Tomka,Neil Kaplan,J. Christopher Thomas,Peter Tomka,"France's Perenco S.A. is challenging Ecuador's 2006 imposition of a windfall tax on energy producers, and its eventual takeover of the oil fields Perenco operated with Burlington Resources (which has filed a parallel claim). Perenco brought this action in 2008, arguing that the windfall tax breaches the France-Ecuador BIT and the stabilization pact in their production sharing contract. In March 2009 the state began seizing and auctioning Perenco’s crude oil in order to pay accumulated assessments. In May 2009, the tribunal ordered Ecuador to refrain from pursuing any action to collect the disputed amounts -- but the state took the position that ICSID interim measures are non-binding, and continued. In July 2009, Ecuador took over the fields and, in 2010, terminated the consortium’s contracts. In June 2011 the tribunal confirmed its jurisdiction under the contracts at issue, but deferred the questions of treaty jurisdiction. A hearing on liability and the remaining jurisdictional issues took place in The Hague in November 2012. A hearing on Ecuador’s counterclaims -- alleging environmental damage and poor operations of the oil blocks -- will be held in September 2013.",,TREATY
UNC319,2013,$1.44 billion,1440000000,HICEE B.V. v. Slovak Republic,HICEE B.V.,Netherlands,Slovak Republic,Sidley Austin; Law Firm of Judge Stephen M. Schwebel; Skubla Partneri s.r.o.,"Skadden, Arps, Slate, Meagher & Flom; Ministry of Finance of the Slovak Republic",Ad hoc (UNCITRAL)/The Hague,Sir Franklin Berman; Charles Brower; Peter Tomka,Sir Franklin Berman,Charles Brower,Peter Tomka,"A dispute under Netherlands-Slovak BIT arising out of  changes in Slovak laws that prevented health insurance companies from operating on a for-profit basis. In September 2011, a divided tribunal dismissed the claim for lack of jurisdiction, on the grounds that the treaty did not cover investments made indirectly through a Slovak subsidiary. HICEE has not pursued further proceedings. A smaller similar claim by Eureko B.V. (renamed Achmea B.V.) resulted in a 22 million euro award in December 2012. These cases are best known for Eureko rejecting the contention that E.U. law trumps intra-E.U. BITs. That controversial conclusion is now being challenged in the German Federal Supreme Court.",,TREATY
UNC323,2013,$400 million,400000000,Mercuria SA v. Poland,Mercuria SA,Cyprus,Poland,Shearman & Sterling,Clifford Chance,SCC/Stockholm,Pierre Tercier; Vaughan Lowe; Albert Jan van den Berg,Pierre Tercier,Vaughan Lowe,Albert Jan van den Berg,,,TREATY
