ID,FISCAL YEAR,AMOUNT IN CONTROVERSY,amountSought,DISPUTE,Claimant name,Claimant country,Respondent State,CLAIMANT COUNSEL,RESPONDENTSCOUNSEL,ARBITRAL INST SITE,ARBITRATORS,Arbitrator1,Arbitrator1President,Arbitrator2,Arbitrator3,description,SOURCE,TYPE
UNC111,2009,$500 million,500000000,M.C.I. Power Group v. Ecuador,M.C.I. Power Group,USA,Ecuador,Appleton & Associates International Lawyers; Astigarraga Davis,Latham & Watkins; Cabezas & Wray,"ICSID/Washington, D.C.","Benjamin Greenberg, Jaime Irarrázabal, Raul Vinuesa (president)",Raul Vinuesa,yes,Jaime Irarrázabal,Benjamin Greenberg,"Claimants alleged breach of the Ecuador–USA BIT based on a disputed payment for the installation of two electric power turbines. Latham obtained a significant victory for Ecuador in an ICSID arbitration initiated under the Ecuador–United States bilateral investment treaty. MCI Power Group LC and New Turbine Inc. brought claims of nearly $100 million in regard to a power sale agreement that had been allegedly expropriated by Ecuador. Because the alleged events that precipitated the dispute occurred before the entry into force of the Ecuador–USA BIT, the claimants argued that the BIT applied retroactively. However, the tribunal ruled in July 2007 that the treaty could not be applied retroactively. The case is currently in annulment proceedings, a limited review process provided under ICSID rules in lieu of challenges in domestic courts",,TREATY
UNC118,2009,Approximately $200 million,200000000,"Gas Natural SDG, S.A. v. Attorney general of Argentina","Gas Natural SDG, S.A.",Spain,Argentina,Freshfields Bruckhaus Deringer; Estudio O’Farrell,Attorney general of Argentina,"ICSID/Washington, D.C.","Andreas Lowenfeld, Henri Alvarez, Pedro Nikken",Andreas Lowenfeld,,Henri Alvarez,Pedro Nikken,"A Spanish-language arbitration under the Spain–Argentina BIT, arising out of the emergency regulatory measures imposed by Argentina in 2002 on the gas industry. The panel affirmed jurisdiction in June 2005. Following repeated requests by the parties, the proceedings have been suspended since late 2005, so that a settlement can be sought.",,TREATY
UNC119,2009,$100 million,100000000,"Aguas Cordobesas S.A., Suez and Sociedad General de Aguas de Barcelona, S.A. v. Argentina","Aguas Cordobesas S.A., Suez and Sociedad General de Aguas de Barcelona, S.A.",Argentina,Argentina,Freshfields Bruckhaus Deringer,Attorney general of Argentina,"ICSID/Washington, D.C.","Jeswald Salacuse (president), Gabrielle Kaufmann-Kohler, Pedro Nikken",Jeswald Salacuse,yes,Gabrielle Kaufmann-Kohler,Pedro Nikken,"A BIT dispute in the water sector arising out of the Argentine financial crisis. One of three parallel claims, brought by different coalitions of foreign utilities, that are being heard by the same three arbitrators. In December 2006 these particular claims were withdrawn as a condition of the investors’ sale of their interests to Roggio S.A.",,TREATY
UNC120,2009,$1.2 billion,1200000000,"Suez S.A., Sociedad General de Aguas de Barcelona, and Vivendi S.A. v. Argentine Republic","Suez S.A., Sociedad General de Aguas de Barcelona, and Vivendi S.A.",France,Argentina,Freshfields Bruckhaus Deringer,Attorney general of Argentina,"ICSID/Washington, D.C.","Jeswald Salacuse (president), Gabrielle Kaufmann-Kohler, Pedro Nikken",Jeswald Salacuse,yes,Gabrielle Kaufmann-Kohler,Pedro Nikken,"One of several disputes between Argentina and foreign investors arising from failed water privatizations in that country. Argentina accuses the consortium of Suez, AgBar, and Vivendi of various contractual performance failings, some involving water quality and pressure as well as expansion targets for connecting new customers to Buenos Aires’s water service. Meanwhile, the investors complain of a series of emergency measures, including a freeze on utility price hikes, taken in response to Argentina’s financial crisis. Jurisdiction was upheld in 2006, and a merits award is expected some time in 2009.",,TREATY
UNC122,2009,$100 million,100000000,Anglian Water Group v. Argentina,Anglian Water Group,United Kingdom,Argentina,Freshfields Bruckhaus Deringer,Attorney general of Argentina,"ICSID/Washington, D.C.","Jeswald Salacuse (chair), Gabrielle Kaufmann-Kohler, Pedro Nikken",Jeswald Salacuse,yes,Gabrielle Kaufmann-Kohler,Pedro Nikken,UNCITRAL arbitration against Argentina in connection with AWG’s minority stake in the water and wastewater concession for the city of Buenos Aires. An award on merits is expected in 2009.,,TREATY
UNC124,2009,$14 billion,14000000000,Eureko B.V. v. Poland,Achmea B.V. (formerly Eureko B.V.),Netherlands,Poland,NautaDutilh,Hogan & Hartson; formerly Salans,Ad hoc (UNCITRAL)/Brussels,"L. Yves Fortier, Stephen Schwebel, Jerzy Rajski ",L. Yves Fortier,,Stephen Schwebel,Jerzy Rajski,"This case concerns the privatization of the leading Polish insurer, Powszechny Zaklad Ubezpieczen (PZU). A divided panel held in 2005 that Poland breached the Dutch–Polish BIT by failing to follow through with a promised initial public offering, which would have permitted Eureko to expand its minority stake in the firm. In 2006 the Brussels Court of First Instance upheld the partial award and rejected a challenge to arbitrator Stephen Schwebel’s impartiality. The damages phase is now under way, with a hearing scheduled for autumn 2009.",,TREATY
UNC125,2009,$425 million,425000000,Fraport AG Frankfurt Airport Services Worldwide v. the Philippines,Fraport AG Frankfurt Airport Services Worldwide,Germany,Philippines,"Milbank, Tweed, Hadley and McCloy; Eric D. Schwartz, Sabine Konrad; Siguion Reyna Montecillo & Ongsiako","White & Case; Judge Feliciano, Supreme Court of the Philippines (retired); Office of the Solicitor General for The the Philippines","ICSID/Washington, D.C.","L. Yves Fortier, Bernardo Cremades, W. Michael Reisman",L. Yves Fortier,,Bernardo Cremades,W. Michael Reisman,"The owner and operator of the Frankfurt airport, Fraport, invested more than $425 million in the construction of a new terminal at Manila’s Ninoy Aquino International Airport. Following construction of the terminal, Fraport alleges that the Philippines nullified the contracts and seized the terminal in violation of its investment treaty. In August 2007 a divided panel declined jurisdiction over the case on the grounds that Fraport had violated Philippine law by quietly maneuvering to exercise managerial control over the local Philippines project company, PIATCO, which handled construction of the terminal (and in which Fraport held a minority stake).",,TREATY
UNC126,2009,Approximately $260 million,260000000,"EDF International, S.A., Saur International, S.A., and Leon Participaciones Argentinas S.A. v. Argentina","EDF International, S.A., Saur International, S.A., and Leon Participaciones Argentinas S.A.",France,Argentina,"Arnold & Porter; Rattagan, Macchiavello, Arocena & Pena Robirosa Abogados",Attorney general of Argentina,"ICSID/Washington, D.C.","William Park, Gabrielle Kaufmann-Kohler, Jesus Remon",William Park,,Gabrielle Kaufmann-Kohler,Jesus Remon,"The claimants, French and Argentine power sector companies with investments in Argentina’s electricity distribution network, allege losses arising out of Argentina’s emergency response to an earlier financial crisis. In August 2008 arbitrators upheld jurisdiction over the claim. The Argentine government denies that the measures breached the treaty, and insists they were necessary due to the nature of the economic crisis.",,TREATY
UNC127,2009,$2.8 billion,2800000000,Telefonica S.A. v. Argentine Republic,Telefonica S.A.,Spain,Argentina,M. & M. Bomchil,Attorney general of Argentina,"ICSID/Washington, D.C.","Giorgio Sacerdoti, Eduardo Siquieros Twomey, Charles Brower",Giorgio Sacerdoti,,Eduardo Siquieros Twomey,Charles Brower,"This telecom dispute has been on hold for several years as Spain’s Telefonica attempts an amicable settlement with Argentina. The claim is one of the largest to materialize in the aftermath of the Argentine financial crisis, with Telefonica alleging that emergency responses to the crisis triggered breaches of the BIT between Argentina and Spain. Argentina is trying to persuade Telefonica to join a number of foreign investors who have abandoned arbitration in favor of new contract terms. The Argentine attorney general’s office confirms that the two sides are close to an agreement on a new regulatory framework for Telefonica.",,TREATY
UNC129,2009,$200 million,200000000,El Paso Energy International Co. v. Argentine Republic,El Paso Energy International Co.,USA,Argentina,"King & Spalding; Perez, Alati, Grondona, Benites & Martinez de Hoz, Jr.",Attorney general of Argentina,"ICSID/Washington, D.C.","Lucius Caflisch, Piero Bernardini, Brigitte Stern",Lucius Caflisch,,Piero Bernardini,Brigitte Stern,"Another Argentine financial crisis claim. El Paso alleged breaches of the USA–Argentina bilateral investment treaty as a result of emergency measures taken by Argentina that have adversely impacted El Paso’s investments in the hydrocarbons and electricity sectors in Argentina. An award is expected in 2009. The Argentine government denies that the measures breached the treaty, and insists they were necessary due to the nature of the economic crisis.“",,TREATY
UNC131,2009,$900 million,900000000,Pan American Energy LLC and BP Argentina Exploration Co. v. Argentine Republic,Pan American Energy LLC and BP Argentina Exploration Co.,USA,Argentina,"King & Spalding; Perez, Alati, Grondona, Benites, Arnsten & Martinez de Hoz, Jr.",Procurador del Tesero de la Nacion,"ICSID/Washington, D.C.","Lucius Caflisch, Albert Jan Van den Berg, Brigitte Stern",Lucius Caflisch,,Albert Jan Van den Berg,Brigitte Stern,"BP and Pan American claimed that certain joint investments in hydrocarbons and electricity production were harmed by the emergency measures introduced to stabilize the Argentine economy in the early part of this decade. The Argentine government denies that the measures breached the treaty, and insists they were necessary due to the nature of the economic crisis. The case settled in mid-2008.",,TREATY
UNC133,2009,$300 million,300000000,Plama Consortium Limited v. Bulgaria,Plama Consortium Limited,Cyprus,Bulgaria,Nixon Peabody; Shearman & Sterling (stepped down mid-way through merits phase),White & Case,ICSID,"Carl Salans, V. V. Veeder, Albert Jan van den Berg",Carl Salans,,V. V. Veeder,Albert Jan van den Berg,"In September 2008 an ICSID tribunal dismissed all legal claims brought by a Cyprus-based company, Plama Consortium Limited (PCL) against Bulgaria. Arbitrators held that the company had misrepresented its experience and financing during its mid-1990s bid to acquire a recently privatized refinery, Nova Plama. Arbitrators rejected the claimant’s jurisdictional and merits arguments, and ordered PCL to pay a hefty portion of Bulgaria’s legal costs.",,TREATY
UNC139,2009,$200 million,200000000,"Mobil Exploration, Development Argentina Inc. Sucursal Argentina, and Mobil Argentina Sociedad Anonima v. The Argentine Republic","Mobil Exploration, Development Argentina Inc. Sucursal Argentina, and Mobil Argentina Sociedad Anonima",USA,Argentina,"King & Spalding; Perez Alati, Grondona, Benites, Arntsen & Martinez de Hoz, Jr.",Attorney general of Argentina,"ICSID/Washington, D.C.","Gustaf Moller, Piero Bernardini, Antonio Remiro Brotons",Gustaf Moller,,Piero Bernardini,Antonio Remiro Brotons,"Another Argentine financial crisis dispute. Claimants complain that emergency measures taken by Argentina have negatively affected investments in the oil and gas sector. Pleadings on the merits continue. The Argentine government denies that the measures breached the treaty, and insists they were necessary due to the nature of the economic crisis.",,TREATY
UNC141,2009,$340 million,340000000,"Grand River Enterprises Six Nations, Ltd. et al. v. United States of America","Grand River Enterprises Six Nations, Ltd. et al.",Canada,USA,Windels Marx Lane & Mittendorf; Law Offices of Leonard Violi; Crowell & Moring,"Asst Legal Adviser, USA Department of State","ICSID/Washington, D.C.","Fali Nariman, James Anaya, John Crook",Fali Nariman,,James Anaya,John Crook,"Canadians allege that the USA tobacco settlement sent their profits up in smoke. The claimants turned to NAFTA arbitration in 2003, following a so-called Master Settlement Agreement (MSA) reached among 46 USA states and four major tobacco companies. While the MSA ended various lawsuits against tobacco companies, the Canadian claimants say that it led to onerous new consequences for smaller operators in the tobacco sector. The USA government argues that several of the claimants lack cross-border investments, and are better described as cross-border traders—who would not have standing to sue the USA under the NAFTA investment chapter. Hearings are slated for later in 2009.",,TREATY
UNC147,2009,$143 million,143000000,Eastern Sugar B.V. v. The Czech Republic,Eastern Sugar B.V.,Netherlands,Czech Republic,Freshfields Bruckhaus Deringer,"Teynier, Pic & Associe; Weinholh",ICSID/Paris,"Pierre Karrer, Robert Volterra, Emmanuel Gaillard",Pierre Karrer,,Robert Volterra,Emmanuel Gaillard,"An Anglo-French joint venture incorporated in Netherlands, Eastern Sugar alleged that the Czech Republic violated the Dutch–Czech BIT in its regulation of the sugar industry and allocation of sugar quotas. In April 2007 the panel awarded Eastern Sugar approximately $34 million.",,TREATY
