ID,Case Title,Case Number,InvestmentType,Date Registered,Arbitrator1,Arbitrator1President,President Nationality,Arbitrator2,Arbitrator2Claimant,Arbitrators 1 Nationality,Arbitrator3,Arbitrator3Respondent,Arbitrator 2 Nationality,Claimant Representative,Respondent Representative,Outcome Of Proceeding,ResolutionYear
UNC095,Fireman's Fund Insurance Company v. United Mexican States,ARB(AF)/02/1,Debt instruments,2002-01-15,Albert Jan VAN DEN BERG,YES,Dutch,Andreas F. LOWENFELD,YES,U.S.,Alberto Guillermo SAAVEDRA OLAVARRIETA,YES,Mexican,"Baker & Mackenzie, Mexico City, Mexico Sidley, Austin, Brown & Wood, Washington, D.C., U.S.A.","Consultoría Jurídica de Negociaciones, Secretaría de Economía, Mexico City, Mexico","Award rendered on July 17, 2006.",2006
,Repsol YPF Ecuador S.A. v. Empresa Estatal Petróleos del Ecuador (Petroecuador),ARB/01/10,Oil exploration contract,2001-10-05,Rodrigo OREAMUNO,YES,Costa Rican,Eduardo CARMIGNIANI VALENCIA,YES,Ecuadoran,Alberto WRAY ESPINOSA,YES,Ecuadoran,,,"Award rendered on February 20, 2004.",2004
UNC428,OI European Group B.V. v. Bolivarian Republic of Venezuela,ARB/11/25,Glass production enterprise,2011-09-26,Juan FERNÁNDEZ-ARMESTO,YES,Spanish,Francisco ORREGO VICUÑA,YES,Chilean,Alexis MOURRE,YES,French,"Volterra Fietta, London, U.K. Escritorio Muci-Abraham & Asociados, Caracas, Venezuela Lucas Bastin, London, U.K.","Language(s) of Proceeding;Spanish, English;Status of Proceeding;Concluded;Outcome of Proceeding;Award rendered by the Tribunal on March 10, 2015.;(b) Annulment Proceeding;Applicant(s)/Requesting Party(ies);Respondent(s);Respondent(s) on Annulment;Date Registered;July 17, 2015 (Respondent(s));Date of Constitution of ad hoc Committee;Composition of ad hoc Committee (Appointed by the Chairman of the Administrative Council);President;Members;Initial Composition of ad hoc Committee;President;Members;Reconstituted;Party Representatives;Claimant(s): Volterra Fietta, London, U.K. Escritorio Muci-Abraham & Asociados, Caracas, Venezuela Lucas Bastin, London, U.K.","Award rendered by the Tribunal on March 10, 2015.",2015
,Société Industrielle des Boissons de Guinée v. Republic of Guinea,ARB/12/8,Beverage production enterprise,2012-04-05,Pierre MAYER,YES,French,Jean-Michel JACQUET,YES,French,Alexis MOURRE,YES,French,"Cabinet Leboulanger, Paris, France","Orrick Rambaud Martel, Paris, France Cabinet Mamadou S. Traore, Ouagadougou, Burkina Faso","Award rendered on May 21, 2014.",2014
,Tradex Hellas S.A. v. Republic of Albania,ARB/94/2,Agricultural enterprise,1994-12-08,Karl-Heinz BÖCKSTIEGEL,YES,German,Fred F. FIELDING,YES,U.S.,Andrea GIARDINA,YES,Italian,"Leonidas Georgakopoulos, Athens, Greece Tradex Hellas S.A., Managing Director, Halandri, Athens","Ministry of Agriculture and Food, Tirana, Albania James Crawford and Philippe Sands","Award rendered on April 29, 1999.",1999
UNC246,"ConocoPhillips Petrozuata B.V., ConocoPhillips Hamaca B.V. and ConocoPhillips Gulf of Paria B.V. v. Bolivarian Republic of Venezuela",ARB/07/30,Oil and gas enterprise,2007-12-13,Kenneth KEITH,YES,New Zealand,L. Yves FORTIER,YES,Canadian,Andreas BUCHER,YES,Swiss,"Freshfields Bruckhaus Deringer, New York, NY, U.S.A. Three Crowns, London, U.K.","Procuradur&iacutea General de la Rep&uacuteblica, Caracas, Venezuela Curtis, Mallet-Prevost, Colt & Mosle, New York, NY, U.S.A. and Mexico City, Mexico",,
,Manufacturers Hanover Trust Company v. Arab Republic of Egypt and General Authority for Investment and Free Zones,ARB/89/1,Bank branch operation,1989-06-15,Ignaz SEIDL-HOHENVELDERN,YES,Austrian,Mohamed Yassin ABDEL A'AL,YES,Sudanese,Andreas BUCHER,YES,Swiss,"Charles N. Brower, Ronald E. M. Goodman, Clifford Larsen, Aktham Elkholy, W. Michael Reisman, Aron Broches, Dennis J. McShane, Taher D. Makkiyah","Arab Republic of Egypt, not represented General Authority for Investment and Free Zones, represented by: Samir El-Sharkawi, Edward El-Dahabi and Yehia Ezzat","Settlement agreed by the Claimant and one of the Respondents and proceeding discontinued at their request (Order taking note of the discontinuance issued by the Tribunal on June 24, 1993 pursuant to Arbitration Rule 44).",1993
UNC015,"Československa obchodní banka, a.s. v. Slovak Republic",ARB/97/4,Debt instruments,1997-04-25,Hans VAN HOUTTE,YES,Belgian,Piero BERNARDINI,YES,Italian,Andreas BUCHER,YES,Swiss,"White & Case, Washington, D.C., U.S.A.","Shearman & Sterling, New York, NY, U.S.A. and Paris, France Cernejova & Hrbek, Bratislava, Slovak Republic","Award rendered on December 29, 2004.",2004
UNC303,Quadrant Pacific Growth Fund L.P. and Canasco Holdings Inc. v. Republic of Costa Rica,ARB(AF)/08/1,Agricultural enterprises,2008-03-21,Alejandro M. GARRO,YES,Argentine,Bernardo M. CREMADES,YES,Spanish,Andreas F. LOWENFELD,YES,U.S.,"Appleton & Associates International Lawyers, Toronto, Canada","Ministry of Foreign Trade, San Jose, Costa Rica Sidley Austin, Washington, D.C., U.S.A.","The Tribunal issues an order taking note of the discontinuance of the proceeding pursuant to ICSID Administrative and Financial Regulation 14(3)(d) on October 27, 2010.",2010
UNC528,Cervin Investissements S.A. and Rhone Investissements S.A. v. Republic of Costa Rica,ARB/13/2,Gas distribution enterprise,2013-03-11,Alexis MOURRE,YES,French,Ricardo RAMÍREZ HERNÁNDEZ,YES,Mexican,Andrés JANA LINETZKY,YES,Chilean,"Luis Grife Alonso, Mexico City, Mexico Gullermo Ramirez, Mexico City, Mexico Josafat Paredes Camarena, Mexico City, Mexico","Ministry of Foreign Trade, San Jose, Costa Rica Baker Botts, London, U.K.",,
,Tanzania Electric Supply Company Limited v. Independent Power Tanzania Limited,ARB/98/8,Power purchase agreement,1998-12-07,Kenneth S. ROKISON,YES,British,Charles N. BROWER,YES,U.S.,Andrew ROGERS,YES,Australian,"Hunton & Williams, Washington, D.C., U.S.A.","Nixon Peabody, New York, NY, U.S.A.","Award rendered on July 12, 2001.",2001
,World Duty Free Company Limited v. Republic of Kenya,ARB/00/7,Duty free concession,2000-07-07,Gilbert GUILLAUME,YES,French,V.V. VEEDER,YES,British,Andrew ROGERS,YES,Australian,"Geoffrey Robertson and Olivia Holdsworth, London, U.K. Morgan, Lewis & Bockius, Washington, D.C., U.S.A. Paul K. Muite, Nairobi, Kenya","Freshfields Bruckhaus Deringer, Paris, France","Award rendered on October 4, 2006.",2006
,Lundin Tunisia B. V. v. Republic of Tunisia,ARB/12/30,Oil exploration and exploitation operations,2012-10-02,Azzedine KETTANI,YES,Moroccan,Emmanuel GAILLARD,YES,French,Anna JOUBIN-BRET,YES,French,"Cabinet de Ma&icirctre Othman Ben Fadhel, Tunis, Tunisia McDermott Will & Emery, Paris, France","Direction G&eacuten&eacuterale du Contentieux de l'Etat,Tunis,Tunisia",,
UNC581,Tariq Bashir and SA Interpétrol Burundi v. Republic of Burundi,ARB/14/31,Petroleum products supply,2014-12-12,Jan PAULSSON,YES,"Bahraini, Swedish, French",Hamid G. GHARAVI,YES,"Iranian, French",Anna JOUBIN-BRET,YES,French,"Sylvestre Banzubaze, Bujumbura, Burundi Michel Lion, Brussels, Belgium VVGB Advocaten/Avocats, Brussels, Belgium","Ministry of Justice and Keeper of Seals, Bujumbura, Burundi Claude Nimubona, Bujumbura, Burundi Sixte Sizimwe Kazirukanyo, Bujumbura, Burundi",,
,A11Y LTD. v. Czech Republic,UNCT/15/1,Technology for visually impaired,,L. Yves FORTIER,YES,Canadian,Stanimir A. ALEXANDROV,YES,Bulgarian,Anna JOUBIN-BRET,YES,French,"Sekanina Legal, Prague, Czech Republic","Ministry of Finance, Prague, Czech Republic zeiler.partners Rechtsanwälte GmbH, Vienna, Austria",,
UNC160,Alstom Power Italia SpA and Alstom SpA v. Republic of Mongolia,ARB/04/10,Thermal energy station project,2004-03-18,Marc LALONDE,YES,Canadian,Jan PAULSSON,YES,French,Anthony MASON,YES,Australian,"Lovells, London, U.K. James Crawford, London, U.K.","Deputy Minister of Justice and Home Office, Ministry of Justice and Home Office, Ulaanbaatar, Mongolia Milbank, Tweed, Hadley & McCloy, Washington, D.C., U.S.A.","Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance issued by the Tribunal on March 13, 2006 pursuant to Arbitration Rule 43(1)).",2006
UNC188,Asset Recovery Trust S.A. v. Argentine Republic,ARB/05/11,Collection contract,2005-06-23,Jaime C. IRARRÁZABAL,YES,Chilean,Ernesto CANALES SANTOS,YES,Mexican,Antonio A. CANÇADO TRINDADE,YES,Brazilian,"Cassagne Abogados, Buenos Aires, Argentina","Procuradora del Tesoro de la Naci&oacuten, Buenos Aires, Argentina","The Tribunal issues a procedural order for the discontinuance of the proceeding for lack of payment of the required advances, pursuant to ICSID Administrative and Financial Regulation 14(3)(d) on November 27, 2012.",2012
UNC139,Mobil Exploration and Development Inc. Suc. Argentina and Mobil Argentina S.A. v. Argentine Republic,ARB/04/16,Gas production concessions,2004-08-05,Gustaf MÖLLER,YES,Finnish,Piero BERNARDINI,YES,Italian,Antonio REMIRO BROTÓNS,YES,Spanish,"King & Spalding, Houston, TX, U.S.A. Pérez Alati, Grondona, Benítez Arntsen & Martínez de Hoz (Jr.), Buenos Aires, Argentina","Procuradora del Tesoro de la Nación, Buenos Aires, Argentina",,
UNC159,Telenor Mobile Communications AS v. Republic of Hungary,ARB/04/15,Telecommunications concession,2004-08-02,Royston GOODE,YES,British,Nicholas W. ALLARD,YES,U.S.,Arthur L. MARRIOTT,YES,British,"Nagy És Trócsányi Ügyvédi Iroda, Budapest, Hungary","Deputy State Secretariat, Ministry of Informatics and Communications, Budapest, Hungary Arnold & Porter, Washington, D.C., U.S.A.","Award rendered on September 13, 2006.",2006
,"Occidental of Pakistan, Inc. v. Islamic Republic of Pakistan",ARB/87/4,Petroleum concession,1987-10-07,Ian BROWNLIE,YES,British,Anthony COLMAN,YES,British,Ashraf Ullah KHAN,YES,British,"Nabarro Nathanson, London, U.K.","Director General of Petroleum Concessions, Ministry of Petroleum and Natural Resources, Islamabad, Pakistan","Settlement agreed by the parties and proceeding discontinued at the request of the Claimant (Order taking note of the discontinuance issued by the Tribunal on January 27, 1989 pursuant to Arbitration Rule 44).",1989
UNC480,UAB E energija (Lithuania) v. Republic of Latvia,ARB/12/33,Heating services enterprise,2012-10-15,Paolo Michele PATOCCHI,YES,Swiss,Samuel WORDSWORTH,YES,British,August REINISCH,YES,Austrian,"Vinson & Elkins, London, U.K. ZAB Sorainen, Riga, Republic of Latvia","Legal Department, State Chancellery, Riga, Republic of Latvia",,
UNC567,VICAT v. Republic of Senegal,ARB/14/19,Cement manufacturing enterprise,2014-08-05,Klaus SACHS,YES,German,Peter POLAK,YES,Austrian,Barton LEGUM,YES,U.S.,"Jeantet Associés, Paris, France","Agent Judiciaire de l’Etat, Dakar, Senegal Moussa Félix Sow, Dakar, Senegal Aïssata Tall Sall, Dakar, Senegal",,
,"PT Ventures, SGPS, S.A. v. Republic of Cabo Verde",ARB/15/12,Telecommunications concession,2015-04-14,Juan FERNÁNDEZ-ARMESTO,YES,Spanish,Fernando MANTILLA-SERRANO,YES,Colombian,Benfeito Mosso RAMOS,YES,Cabo Verdean,"Vieira de Almeida & Associados, Sociedade de Advogados, R.L, Lisbon, Portugal","Prime Ministry of the Republic of Cabo Verde, Santiago, Republic of Cabo Verde",,
UNC026,"Waste Management, Inc. v. United Mexican States",ARB(AF)/98/2,Waste disposal enterprise,2000-09-27,James R. CRAWFORD,YES,Australian,Eduardo MAGALLÓN GÓMEZ,YES,Mexican,Benjamin R. CIVILETTI,YES,U.S.,"Baker & Botts, Washington, D.C., U.S.A. J. Patrick Berry, Jay L. Alexander and Richard C. King, Washington, D.C., U.S.A.","Dirección General de Consultoría, Jurídica de Negociaciones Comerciales, Subsecretaría de Negociaciones Comerciales Internacionales, Secretaría de Economía, Mexico City, Mexico","Award rendered on April 30, 2004.",2004
UNC329,International Company for Railway Systems (ICRS) v. Hashemite Kingdom of Jordan,ARB/09/13,Light rail system,2009-07-16,Patrick L. ROBINSON,YES,Jamaican,Stanimir A. ALEXANDROV,YES,Bulgarian,Bernard AUDIT,YES,French,"Samandi & Qureshi, Islamabad, Pakistan","International Business Legal Associates, Amman, Jordan Winston & Strawn, Chicago, IL, U.S.A. and Paris, France","Settlement agreed by the parties (Order taking note of the discontinuance issued by the Tribunal on February 22, 2011, pursuant to ICSID Arbitration Rule 43(1)).",2011
,"Cargill, Incorporated v. Republic of Poland",ARB(AF)/04/2,Isoglucose production,2004-07-07,Gabrielle KAUFMANN-KOHLER,YES,Swiss,Emmanuel GAILLARD,YES,French,Bernard HANOTIAU,YES,Belgian,"Sidley Austin, Washington, D.C., U.S.A. Domański Zakrzewski Palinka Limited Partnership Law Office, Warsaw, Poland","Sołtysiński Kawecki & Szlęzak, Kancelaria Radców Prawnych i Adwokatów, Warsaw, Poland David A. Pawlak, Warsaw, Poland","Settlement on jurisdiction agreed by the parties on March 10, 2005 and proceeding discontinued at their request (Order taking note of the discontinuance of the proceeding pursuant to Arbitration Rule 49(1) of the Additional Facility Rules issued by the Tribunal on April 4, 2005.) At the request of the parties, and with the Tribunal's consent, the proceeding continues with the same Tribunal under the UNCITRAL Arbitration Rules.",2005
UNC196,"LESI, S.p.A. and Astaldi, S.p.A. v. People's Democratic Republic of Algeria",ARB/05/3,Construction of a dam,2005-03-18,Pierre TERCIER,YES,Swiss,Emmanuel GAILLARD,YES,French,Bernard HANOTIAU,YES,Belgian,"Bonelli Erede Pappalardo Studio Legale, Milan, Italy","Ministère des Ressources, Algiers, Algeria Falque & Associés, Paris, France Mohammed Chemloul, Algiers, Algeria","Award rendered on November 12, 2008.",2008
UNC331,Reinhard Hans Unglaube v. Republic of Costa Rica,ARB/09/20,Tourism project,2009-11-11,Judd L. KESSLER,YES,U.S.,Franklin BERMAN,YES,British,Bernardo M. CREMADES,YES,Spanish,"K&L Gates, Frankfurt, Germany and London, U.K.","Sidley Austin, Washington, D.C., U.S.A. Ministerio de Comercio Exterior, San Jose, Costa Rica","Award rendered on May 16, 2012.",2012
UNC293,Marion Unglaube v. Republic of Costa Rica,ARB/08/1,Tourism project,2008-01-25,Judd L. KESSLER,YES,U.S.,Franklin BERMAN,YES,British,Bernardo M. CREMADES,YES,Spanish,"K&L Gates, Frankfurt, Germany and London, U.K.","Sidley Austin, Washington, D.C., U.S.A. Ministerio de Comercio Exterior, San Jose, Costa Rica","Award rendered on May 16, 2012.",2012
UNC189,Noble Energy Inc. and MachalaPower Cía. Ltd. v. Republic of Ecuador and Consejo Nacional de Electricidad,ARB/05/12,Electricity enterprise,2005-07-29,Gabrielle KAUFMANN-KOHLER,YES,Swiss,Henri C. ÁLVAREZ,YES,Canadian,Bernardo M. CREMADES,YES,Spanish,"King & Spalding, Houston, TX, U.S.A. Pérez Bustamente & Ponce, Quito, Ecuador","Procurador General del Estado, Quito, Ecuador Fabara & Compañía, Quito, Ecuador Squire, Sanders & Dempsey, Cleveland, Ohio, and Washington, D.C., U.S.A.","Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance issued by the Tribunal on May 20, 2009 pursuant to Arbitration Rule 43(1).",2009
UNC103,"Industria Nacional de Alimentos, S.A. and Indalsa Perú, S.A. (formerly Empresas Lucchetti, S.A. and Lucchetti Perú, S.A.) v. Republic of Peru",ARB/03/4,Pasta factory,2003-03-26,Thomas BUERGENTHAL,YES,U.S.,Jan PAULSSON,YES,French,Bernardo M. CREMADES,YES,Spanish,"Edmundo Eluchans y Cía., Santiago, Chile Arnold & Porter, Washington, D.C., U.S.A.","Language(s) of Proceeding;Spanish, English;Status of Proceeding;Concluded;Outcome of Proceeding;Award rendered on February 7, 2005.;(b) Annulment Proceeding;Applicant(s)/Requesting Party(ies);Claimant(s);Respondent(s) on Annulment;Date Registered;July 1, 2005 (Claimant(s));Date of Constitution of ad hoc Committee;November 17, 2005;Composition of ad hoc Committee (Appointed by the Chairman of the Administrative Council);President;Hans DANELIUS (Swedish);Members;Andrea GIARDINA (Italian) Franklin BERMAN (British);Initial Composition of ad hoc Committee;President;Members;Reconstituted;Party Representatives;Claimant(s): Edmundo Eluchans y Cía., Santiago, Chile Arnold & Porter, Washington, D.C., U.S.A.","Award rendered on February 7, 2005.",2005
,Pluspetrol Perú Corporation and others v. Perupetro S.A.,ARB/12/28,Hydrocarbon concession,2012-09-11,Eduardo SIQUEIROS T,YES,Mexican,Jose Emilio NUNES PINTO,YES,Brazilian,Bernardo M. CREMADES,YES,Spanish,"Weil, Gotshal & Manges, Washington, D.C., New York, NY, and Houston,TX, U.S.A. Miranda & Amado Abogados, Lima, Peru","Sidley Austin, Washington, D.C., U.S.A. Estudio Navarro, Ferrero & Pazos, Lima, Peru","Award rendered by the Tribunal on May 21, 2015.",2015
,"Autopista Concesionada de Venezuela, C.A. v. Bolivarian Republic of Venezuela",ARB/00/5,Contract for the construction of a highway system,2000-06-23,Gabrielle KAUFMANN-KOHLER,YES,Swiss,Karl-Heinz BÖCKSTIEGEL,YES,German,Bernardo M. CREMADES,YES,Spanish,"Debevoise & Plimpton, New York, NY, U.S.A.","Ministry of Infrastructure, Caracas, Venezuela Attorney General, Caracas, Venezuela Arnold & Porter, Washington, D.C., U.S.A.","Award rendered on September 23, 2003.",2003
UNC001,Asian Agricultural Products Limited v. Democratic Socialist Republic of Sri Lanka,ARB/87/3,Shrimp farming joint venture,1987-07-20,Ahmed Sadek EL-KOSHERI,YES,Egyptian,Samuel K.B. ASANTE,YES,Ghanaian,Berthold GOLDMAN,YES,French,Heribert Golsong,"M.S Aziz, Robert Hornick and Paul Friedland","Award rendered on June 27, 1990, attached to the Award is a Dissenting Opinion by arbitrator Samuel K.B. Asante.",1990
UNC220,Branimir Mensik v. Slovak Republic,ARB/06/9,Mineral water spring project,2006-05-10,W. Michael REISMAN,YES,U.S.,Karl-Heinz BÖCKSTIEGEL,YES,German,Bohuslav KLEIN,YES,Czech,"Michal Zabelka, Dubendorf, Switzerland","Ministry of Finance of the Slovak Republic, Bratislava, Slovak Republic Rowan Legal, Bratislava, Slovak Republic","The Tribunal issues an order for the discontinuance of the proceeding on December 9, 2008, for lack of payment of advances, pursuant to Regulation 14(3)(d) of the ICSID Administrative and Financial Regulations.",2008
UNC072,"AIG Capital Partners, Inc. and CJSC Tema Real Estate Company v. Republic of Kazakhstan",ARB/01/6,Construction of residential housing complex,2001-06-04,Fali S. NARIMAN,YES,Indian,Piero BERNARDINI,YES,Italian,Branko VUKMIR,YES,Croatian,"Coudert Brothers, Washington, D.C., U.S.A.","McGuireWoods, Brussels, Belgium Head of the Almaty Oblast Administration, Kazakhstan","Award rendered on October 7, 2003.",2003
